RequestID,OrganisationEntered,DepartmentID,RequestType,RequestedDateText,CompletedDateText,CostGBP,Channel
CH-02-00082,Fabrikam Services 134,D019,Product return,18/02/2026,21/02/2026,524.00,Web
CH-02-00083,Contoso Retail 141,D005,Product return,20/02/2026,21/02/2026,176.50,Web
CH-02-00084,Northwind Digital 148,D095,Account access,04/02/2026,07/02/2026,156.60,Phone
CH-02-00085,Adventure Works Research 155,D044,Account access,28/02/2026,04/03/2026,806.20,Email
CH-02-00086,Fabrikam Logistics 162,D003,Account access,19/02/2026,03/03/2026,623.50,Email
CH-02-00087,Contoso Analytics 169,D087,Product return,06/02/2026,11/02/2026,521.00,Phone
CH-02-00088,Northwind Services 176,D103,Warranty claim,27/02/2026,07/03/2026,696.40,Email
CH-02-00089,Adventure Works Retail 183,D036,Account access,23/02/2026,27/02/2026,397.70,Email
CH-02-00090,Fabrikam Digital 190,D077,Account access,02/02/2026,05/02/2026,790.20,Web
CH-02-00091,Contoso Research 197,D022,Account access,02/02/2026,12/02/2026,316.90,Email
CH-02-00092,Northwind Logistics 204,D095,Warranty claim,23/02/2026,25/02/2026,344.80,Email
CH-02-00093,Adventure Works Analytics 211,D046,Technical support,12/02/2026,17/02/2026,704.90,Web
CH-02-00094,Unregistered Partner 38,D011,Delivery enquiry,28/02/2026,01/03/2026,733.50,Phone
CH-02-00095,Contoso Oxford Trading,D054,Warranty claim,02/02/2026,05/02/2026,606.60,Email
CH-02-00096,Northwind Logistics 012,D022,Account access,17/02/2026,,568.70,Phone
CH-02-00097,Adventure Works Analytics 019,D047,Warranty claim,16/02/2026,18/02/2026,78.80,Phone
CH-02-00098,Fabrikam Services 026,D105,Delivery enquiry,05/02/2026,15/02/2026,761.40,Email
CH-02-00099,Contoso Retail 033,D043,Account access,18/02/2026,22/02/2026,477.90,Email
CH-02-00100,Northwind Digital 040,D028,Account access,02/02/2026,13/02/2026,330.20,Phone
CH-02-00101,Adventure Works Research 047,D076,Warranty claim,24/02/2026,26/02/2026,576.10,Phone
CH-02-00102,Fabrikam Logistics 054,D069,Product return,20/02/2026,27/02/2026,624.80,Email
CH-02-00103,Contoso Analytics 061,D068,Product return,19/02/2026,01/03/2026,152.80,Web
CH-02-00104,Northwind Services 068,D011,Technical support,09/02/2026,21/02/2026,794.80,Email
CH-02-00105,Adventure Works Retail 075,D009,Product return,23/02/2026,03/03/2026,161.50,Web
CH-02-00106,Fabrikam Digitl 082,D061,Warranty claim,27/02/2026,09/03/2026,690.80,Web
CH-02-00107,Contoso Research 089,D085,Technical support,09/02/2026,14/02/2026,133.60,Web
CH-02-00108,Northwind Logistics 096,D100,Warranty claim,14/02/2026,24/02/2026,697.70,Web
CH-02-00109,Adventure Works Analytics 103,D040,Delivery enquiry,18/02/2026,20/02/2026,622.10,Email
CH-02-00110,Fabrikam Services 110,D090,Warranty claim,01/02/2026,08/02/2026,692.60,Email
CH-02-00111,Contoso Retial 117,D085,Warranty claim,17/02/2026,21/02/2026,377.40,Web
CH-02-00112,Northwind Digital 124,D010,Account access,28/02/2026,03/03/2026,530.00,Email
CH-02-00113,Adventure Works Research 131,D032,Warranty claim,14/02/2026,25/02/2026,846.20,Web
CH-02-00114,Fabrikam Logistics 138,D076,Delivery enquiry,05/02/2026,09/02/2026,464.80,Phone
CH-02-00115,Contoso Analytics 145,D045,Delivery enquiry,20/02/2026,,61.70,Phone
CH-02-00116,Northwind Srvcs 152,D011,Delivery enquiry,26/02/2026,01/03/2026,686.70,Email
CH-02-00117,Adventure Works Retail 159,D008,Product return,25/02/2026,09/03/2026,812.50,Web
CH-02-00118,Fabrikam Digital 166,D074,Technical support,09/02/2026,10/02/2026,356.80,Web
CH-02-00119,Contoso Research 173,D073,Warranty claim,25/02/2026,05/03/2026,702.90,Email
CH-02-00120,Northwind Logistics 180,D093,Delivery enquiry,11/02/2026,12/02/2026,222.30,Web
CH-02-00121,Adventure Works Analytcs 187,D053,Warranty claim,08/02/2026,15/02/2026,387.00,Web
CH-02-00122,Fabrikam Services 194,D092,Delivery enquiry,17/02/2026,28/02/2026,814.50,Phone
CH-02-00123,Contoso Retail 201,D070,Account access,25/02/2026,01/03/2026,43.70,Email
CH-02-00124,Northwind Digital 208,D042,Account access,15/02/2026,22/02/2026,160.30,Web
CH-02-00125,Unregistered Partner 35,D005,Account access,01/02/2026,03/02/2026,220.20,Phone
CH-02-00126,Cambridge Univ.,D033,Account access,17/02/2026,25/02/2026,331.20,Email
CH-02-00127,Contoso Retail 009,D020,Product return,20/02/2026,22/02/2026,548.50,Phone
CH-02-00128,Northwind Digital 016,D092,Technical support,08/02/2026,12/02/2026,44.60,Phone
CH-02-00129,Adventure Works Research 023,D033,Product return,07/02/2026,13/02/2026,471.90,Phone
CH-02-00130,Fabrikam Logistics 030,D061,Delivery enquiry,20/02/2026,22/02/2026,663.00,Email
CH-02-00131,Contoso Analytcs 037,D094,Account access,25/02/2026,08/03/2026,444.20,Phone
CH-02-00132,Northwind Services 044,D089,Warranty claim,28/02/2026,06/03/2026,215.00,Web
CH-02-00133,Adventure Works Retail 051,D021,Warranty claim,21/02/2026,28/02/2026,597.20,Web
CH-02-00134,Fabrikam Digital 058,D059,Account access,19/02/2026,,507.10,Web
CH-02-00135,Contoso Research 065,D047,Account access,17/02/2026,23/02/2026,404.60,Web
CH-02-00136,Northwind Logistics 072,D102,Delivery enquiry,05/02/2026,14/02/2026,437.40,Email
CH-02-00137,Adventure Works Analytics 079,D027,Account access,12/02/2026,22/02/2026,350.40,Phone
CH-02-00138,Fabrikam Services 086,D107,Product return,08/02/2026,18/02/2026,521.60,Phone
CH-02-00139,Contoso Retail 093,D065,Product return,10/02/2026,18/02/2026,670.50,Email
CH-02-00140,Northwind Digital 100,D009,Technical support,08/02/2026,11/02/2026,555.60,Phone
CH-02-00141,Adventure Works Research 107,D048,Account access,14/02/2026,22/02/2026,535.90,Email
CH-02-00142,Fabrikam Logistics 114,D016,Product return,22/02/2026,05/03/2026,502.30,Web
CH-02-00143,Contoso Analytics 121,D053,Delivery enquiry,28/02/2026,11/03/2026,18.50,Phone
CH-02-00144,Northwind Services 128,D028,Technical support,05/02/2026,17/02/2026,712.50,Web
CH-02-00145,Adventure Works Retail 135,D032,Warranty claim,19/02/2026,27/02/2026,528.10,Email
CH-02-00146,Fabrikam Digitl 142,D023,Technical support,10/02/2026,17/02/2026,712.80,Phone
CH-02-00147,Contoso Research 149,D093,Warranty claim,05/02/2026,13/02/2026,110.10,Web
CH-02-00148,Northwind Logistics 156,D040,Technical support,02/02/2026,10/02/2026,747.40,Web
CH-02-00149,Adventure Works Analytics 163,D016,Account access,04/02/2026,07/02/2026,493.50,Web
CH-02-00150,Fabrikam Services 170,D072,Technical support,14/02/2026,20/02/2026,390.50,Email
CH-02-00151,Contoso Retial 177,D007,Account access,07/02/2026,19/02/2026,151.40,Email
CH-02-00152,Northwind Digital 184,D099,Warranty claim,24/02/2026,01/03/2026,516.20,Phone
CH-02-00153,Adventure Works Research 191,D108,Product return,15/02/2026,,606.00,Web
CH-02-00154,Fabrikam Logistics 198,D056,Account access,12/02/2026,18/02/2026,475.70,Web
CH-02-00155,Contoso Analytics 205,D022,Delivery enquiry,21/02/2026,25/02/2026,267.30,Email
CH-02-00156,Unregistered Partner 32,D088,Product return,19/02/2026,28/02/2026,317.90,Web
CH-02-00157,Adventure Works Retail 219,D035,Warranty claim,21/02/2026,26/02/2026,125.90,Web
CH-02-00158,Contoso Oxford Traders,D053,Warranty claim,09/02/2026,21/02/2026,399.20,Web
CH-02-00159,Contoso Analytics 013,D034,Warranty claim,12/02/2026,15/02/2026,300.80,Web
CH-02-00160,Northwind Services 020,D103,Product return,06/02/2026,16/02/2026,324.70,Phone
CH-02-00161,Adventure Works Retial 027,D055,Delivery enquiry,13/02/2026,19/02/2026,22.40,Web
CH-02-00162,Fabrikam Digital 034,D034,Product return,13/02/2026,20/02/2026,328.00,Email
CH-02-00163,Contoso Research 041,D025,Product return,20/02/2026,22/02/2026,207.20,Email
CH-02-00164,Northwind Logistics 048,D022,Delivery enquiry,28/02/2026,12/03/2026,445.00,Web
CH-02-00165,Adventure Works Analytics 055,D099,Delivery enquiry,19/02/2026,20/02/2026,369.60,Phone
CH-02-00166,Fabrikam Srvcs 062,D059,Delivery enquiry,09/02/2026,14/02/2026,844.10,Web
CH-02-00167,Contoso Retail 069,D017,Delivery enquiry,26/02/2026,28/02/2026,621.30,Phone
CH-02-00168,Northwind Digital 076,D036,Technical support,08/02/2026,13/02/2026,305.70,Phone
CH-02-00169,Adventure Works Research 083,D082,Delivery enquiry,21/02/2026,01/03/2026,395.70,Phone
CH-02-00170,Fabrikam Logistics 090,D005,Technical support,16/02/2026,19/02/2026,137.80,Phone
CH-02-00171,Contoso Analytcs 097,D104,Product return,02/02/2026,12/02/2026,28.90,Email
CH-02-00172,Northwind Services 104,D098,Account access,09/02/2026,,528.90,Email
CH-02-00173,Adventure Works Retail 111,D090,Account access,06/02/2026,12/02/2026,531.80,Web
CH-02-00174,Fabrikam Digital 118,D054,Warranty claim,18/02/2026,02/03/2026,662.60,Email
CH-02-00175,Contoso Research 125,D108,Warranty claim,14/02/2026,23/02/2026,10.90,Email
CH-02-00176,Northwind Logistics 132,D021,Delivery enquiry,22/02/2026,28/02/2026,304.70,Phone
CH-02-00177,Adventure Works Analytics 139,D111,Technical support,27/02/2026,02/03/2026,497.30,Phone
CH-02-00178,Fabrikam Services 146,D017,Product return,13/02/2026,16/02/2026,577.80,Phone
CH-02-00179,Contoso Retail 153,D010,Warranty claim,11/02/2026,14/02/2026,413.00,Web
CH-02-00180,Northwind Digital 160,D001,Product return,19/02/2026,25/02/2026,394.20,Email
CH-02-00181,Adventure Works Research 167,D060,Product return,24/02/2026,04/03/2026,814.60,Email
CH-02-00182,Fabrikam Logistics 174,D035,Technical support,27/02/2026,09/03/2026,635.80,Web
CH-02-00183,Contoso Analytics 181,D097,Account access,08/02/2026,15/02/2026,408.40,Email
CH-02-00184,Northwind Services 188,D057,Warranty claim,13/02/2026,14/02/2026,816.50,Phone
CH-02-00185,Adventure Works Retail 195,D019,Account access,12/02/2026,16/02/2026,709.20,Web
CH-02-00186,Fabrikam Digitl 202,D082,Product return,22/02/2026,06/03/2026,290.70,Web
CH-02-00187,Unregistered Partner 29,D088,Account access,19/02/2026,02/03/2026,748.30,Email
CH-02-00188,Northwind Logistics 216,D042,Product return,16/02/2026,17/02/2026,319.00,Web
CH-02-00189,Imperial College London,D089,Technical support,02/02/2026,07/02/2026,429.70,Email
CH-02-00190,Fabrikam Digital 010,D009,Product return,17/02/2026,24/02/2026,152.20,Web
CH-02-00191,Contoso Research 017,D005,Account access,05/02/2026,,704.50,Web
CH-02-00192,Northwind Logistics 024,D110,Technical support,06/02/2026,17/02/2026,677.40,Web
CH-02-00193,Adventure Works Analytics 031,D041,Warranty claim,14/02/2026,16/02/2026,482.10,Phone
CH-02-00194,Fabrikam Services 038,D067,Delivery enquiry,23/02/2026,03/03/2026,437.10,Web
CH-02-00195,Contoso Retail 045,D092,Technical support,10/02/2026,16/02/2026,580.60,Email
CH-02-00196,Northwind Digitl 052,D070,Product return,19/02/2026,25/02/2026,69.90,Email
CH-02-00197,Adventure Works Research 059,D112,Product return,16/02/2026,28/02/2026,92.00,Phone
CH-02-00198,Fabrikam Logistics 066,D098,Product return,12/02/2026,19/02/2026,665.60,Web
CH-02-00199,Contoso Analytics 073,D050,Warranty claim,08/02/2026,18/02/2026,14.90,Email
CH-02-00200,Northwind Services 080,D068,Technical support,08/02/2026,12/02/2026,713.90,Web
CH-02-00201,Adventure Works Retial 087,D095,Technical support,22/02/2026,03/03/2026,824.90,Phone
CH-02-00202,Fabrikam Digital 094,D053,Technical support,18/02/2026,28/02/2026,829.80,Email
CH-02-00203,Contoso Research 101,D060,Warranty claim,28/02/2026,07/03/2026,557.60,Phone
CH-02-00204,Northwind Logistics 108,D079,Product return,15/02/2026,18/02/2026,428.10,Email
CH-02-00205,Adventure Works Analytics 115,D089,Delivery enquiry,11/02/2026,21/02/2026,689.40,Email
CH-02-00206,Fabrikam Srvcs 122,D106,Product return,04/02/2026,13/02/2026,35.30,Email
CH-02-00207,Contoso Retail 129,D027,Warranty claim,18/02/2026,22/02/2026,428.10,Web
CH-02-00208,Northwind Digital 136,D055,Technical support,17/02/2026,21/02/2026,459.70,Phone
CH-02-00209,Adventure Works Research 143,D041,Account access,22/02/2026,28/02/2026,561.20,Phone
CH-02-00210,Fabrikam Logistics 150,D058,Account access,08/02/2026,,546.00,Phone
CH-02-00211,Contoso Analytcs 157,D027,Delivery enquiry,21/02/2026,05/03/2026,491.40,Phone
CH-02-00212,Northwind Services 164,D101,Technical support,04/02/2026,07/02/2026,185.50,Phone
CH-02-00213,Adventure Works Retail 171,D083,Warranty claim,08/02/2026,12/02/2026,374.90,Email
CH-02-00214,Fabrikam Digital 178,D070,Product return,24/02/2026,28/02/2026,152.00,Web
CH-02-00215,Contoso Research 185,D062,Delivery enquiry,12/02/2026,17/02/2026,392.50,Web
CH-02-00216,Northwind Logistics 192,D026,Technical support,28/02/2026,08/03/2026,163.50,Phone
CH-02-00217,Adventure Works Analytics 199,D092,Delivery enquiry,12/02/2026,22/02/2026,665.40,Phone
CH-02-00218,Unregistered Partner 26,D081,Delivery enquiry,22/02/2026,06/03/2026,150.50,Web
CH-02-00219,Contoso Retail 213,D053,Product return,14/02/2026,26/02/2026,841.10,Phone
CH-02-00220,Northwind Digital 220,D001,Warranty claim,04/02/2026,12/02/2026,830.70,Phone
CH-02-00221,Fabrikam Retial Group,D074,Warranty claim,15/02/2026,23/02/2026,839.30,Phone
CH-02-00222,Fabrikam Services 014,D078,Product return,03/02/2026,14/02/2026,186.30,Email
CH-02-00223,Contoso Retail 021,D073,Product return,11/02/2026,17/02/2026,827.50,Phone
CH-02-00224,Northwind Digital 028,D087,Technical support,14/02/2026,22/02/2026,740.40,Email
CH-02-00225,Adventure Works Research 035,D077,Warranty claim,25/02/2026,05/03/2026,307.30,Email
CH-02-00226,Fabrikam Logistics 042,D069,Warranty claim,24/02/2026,01/03/2026,739.70,Web
CH-02-00227,Contoso Analytics 049,D053,Delivery enquiry,25/02/2026,05/03/2026,605.60,Web
CH-02-00228,Northwind Services 056,D030,Product return,25/02/2026,04/03/2026,520.80,Email
CH-02-00229,Adventure Works Retail 063,D078,Product return,08/02/2026,,424.20,Email
CH-02-00230,Fabrikam Digital 070,D102,Delivery enquiry,23/02/2026,03/03/2026,223.30,Email
CH-02-00231,Contoso Research 077,D063,Product return,15/02/2026,18/02/2026,484.30,Web
CH-02-00232,Northwind Logistics 084,D044,Delivery enquiry,28/02/2026,02/03/2026,467.10,Phone
CH-02-00233,Adventure Works Analytics 091,D033,Delivery enquiry,22/02/2026,27/02/2026,368.90,Web
CH-02-00234,Fabrikam Services 098,D107,Delivery enquiry,20/02/2026,26/02/2026,270.20,Phone
CH-02-00235,Contoso Retail 105,D069,Technical support,07/02/2026,19/02/2026,833.10,Email
CH-02-00236,Northwind Digitl 112,D034,Product return,02/02/2026,08/02/2026,536.50,Email
CH-02-00237,Adventure Works Research 119,D023,Product return,08/02/2026,13/02/2026,523.90,Web
CH-02-00238,Fabrikam Logistics 126,D074,Warranty claim,23/02/2026,05/03/2026,370.50,Phone
CH-02-00239,Contoso Analytics 133,D016,Delivery enquiry,17/02/2026,26/02/2026,473.90,Web
CH-02-00240,Northwind Services 140,D101,Technical support,09/02/2026,14/02/2026,513.60,Phone
CH-02-00241,Adventure Works Retial 147,D087,Warranty claim,01/02/2026,08/02/2026,214.80,Phone
CH-02-00242,Fabrikam Digital 154,D102,Technical support,16/02/2026,27/02/2026,73.30,Email
CH-02-00243,Contoso Research 161,D085,Account access,14/02/2026,23/02/2026,251.70,Email
CH-02-00244,Northwind Logistics 168,D066,Delivery enquiry,13/02/2026,19/02/2026,131.20,Phone
CH-02-00245,Adventure Works Analytics 175,D019,Warranty claim,16/02/2026,25/02/2026,645.90,Email
CH-02-00246,Fabrikam Srvcs 182,D108,Delivery enquiry,23/02/2026,01/03/2026,303.70,Email
CH-02-00247,Contoso Retail 189,D098,Account access,16/02/2026,27/02/2026,786.20,Web
CH-02-00248,Northwind Digital 196,D099,Delivery enquiry,04/02/2026,,648.80,Web
CH-02-00249,Unregistered Partner 23,D063,Warranty claim,27/02/2026,07/03/2026,309.40,Web
CH-02-00250,Fabrikam Logistics 210,D096,Account access,17/02/2026,27/02/2026,491.10,Web
CH-02-00251,Contoso Analytcs 217,D045,Delivery enquiry,17/02/2026,22/02/2026,803.80,Phone
CH-02-00252,Oxford University Press,D101,Product return,07/02/2026,18/02/2026,500.60,Phone
CH-02-00253,Adventure Works Research 011,D052,Warranty claim,23/02/2026,04/03/2026,640.30,Email
CH-02-00254,Fabrikam Logistics 018,D013,Product return,03/02/2026,12/02/2026,444.50,Email
CH-02-00255,Contoso Analytics 025,D031,Warranty claim,22/02/2026,23/02/2026,100.00,Phone
CH-02-00256,Northwind Srvcs 032,D007,Account access,20/02/2026,25/02/2026,649.80,Phone
CH-02-00257,Adventure Works Retail 039,D072,Warranty claim,10/02/2026,13/02/2026,846.70,Web
CH-02-00258,Fabrikam Digital 046,D089,Technical support,26/02/2026,27/02/2026,517.70,Email
CH-02-00259,Contoso Research 053,D025,Technical support,02/02/2026,05/02/2026,113.80,Email
CH-02-00260,Northwind Logistics 060,D022,Warranty claim,13/02/2026,24/02/2026,403.80,Web
CH-02-00261,Adventure Works Analytcs 067,D061,Technical support,16/02/2026,28/02/2026,351.80,Phone
CH-02-00262,Fabrikam Services 074,D081,Technical support,22/02/2026,02/03/2026,232.90,Phone
CH-02-00263,Contoso Retail 081,D043,Delivery enquiry,20/02/2026,22/02/2026,89.60,Phone
CH-02-00264,Northwind Digital 088,D029,Product return,19/02/2026,23/02/2026,191.80,Web
CH-02-00265,Adventure Works Research 095,D063,Product return,17/02/2026,28/02/2026,19.60,Phone
CH-02-00266,Fabrikam Logistics 102,D052,Warranty claim,12/02/2026,17/02/2026,652.80,Phone
CH-02-00267,Contoso Analytics 109,D082,Warranty claim,15/02/2026,,39.10,Phone
CH-02-00268,Northwind Services 116,D067,Delivery enquiry,23/02/2026,06/03/2026,104.50,Phone
CH-02-00269,Adventure Works Retail 123,D079,Delivery enquiry,21/02/2026,25/02/2026,89.00,Email
CH-02-00270,Fabrikam Digital 130,D107,Account access,14/02/2026,21/02/2026,377.60,Web
CH-02-00271,Contoso Research 137,D072,Product return,03/02/2026,08/02/2026,477.90,Email
CH-02-00272,Northwind Logistics 144,D081,Warranty claim,03/02/2026,06/02/2026,464.60,Email
CH-02-00273,Adventure Works Analytics 151,D025,Delivery enquiry,08/02/2026,13/02/2026,200.40,Web
CH-02-00274,Fabrikam Services 158,D066,Delivery enquiry,26/02/2026,04/03/2026,399.60,Web
CH-02-00275,Contoso Retail 165,D062,Product return,10/02/2026,21/02/2026,407.60,Email
CH-02-00276,Northwind Digitl 172,D044,Warranty claim,12/02/2026,18/02/2026,842.10,Email
CH-02-00277,Adventure Works Research 179,D046,Delivery enquiry,09/02/2026,13/02/2026,843.90,Email
CH-02-00278,Fabrikam Logistics 186,D078,Account access,28/02/2026,03/03/2026,244.00,Web
CH-02-00279,Contoso Analytics 193,D031,Account access,06/02/2026,17/02/2026,485.70,Email
CH-02-00280,Unregistered Partner 20,D039,Technical support,14/02/2026,19/02/2026,150.60,Phone
CH-02-00281,Adventure Works Retial 207,D105,Delivery enquiry,04/02/2026,06/02/2026,215.00,Web
CH-02-00282,Fabrikam Digital 214,D007,Delivery enquiry,14/02/2026,15/02/2026,190.50,Phone
CH-02-00283,University of Oxford,D029,Warranty claim,06/02/2026,07/02/2026,532.90,Web
