DepartmentID,DepartmentName,Function,Region,CostCentre,DepartmentStatus
D111,Innovation - North 01,Innovation,North,CC-1210,Active
D112,Innovation - South 01,Innovation,South,CC-1211,Active
D113,Innovation - East 01,Innovation,East,CC-1212,Planned
D114,Innovation - West 01,Innovation,West,CC-1213,Planned
D115,Innovation - Central 01,Innovation,Central,CC-1214,Planned
D116,Innovation - North 02,Innovation,North,CC-1215,Planned
D117,Innovation - South 02,Innovation,South,CC-1216,Planned
D118,Innovation - East 02,Innovation,East,CC-1217,Planned
D119,Innovation - West 02,Innovation,West,CC-1218,Planned
D120,Innovation - Central 02,Innovation,Central,CC-1219,Planned
