RequestID,OrganisationEntered,DepartmentID,RequestType,RequestedDateText,CompletedDateText,CostGBP,Channel
CH-01-00029,Northwind Services 200,D047,Product return,01/25/2026,02/04/2026,208.80,Email
CH-01-00030,Adventure Works Retail 207,D101,Technical support,01/28/2026,01/29/2026,737.50,Phone
CH-01-00031,Fabrikam Digitl 214,D082,Technical support,01/19/2026,01/29/2026,546.20,Phone
CH-01-00032,Unregistered Partner 01,D085,Account access,01/07/2026,01/11/2026,577.10,Web
CH-01-00033,Adventure Works UK,D030,Warranty claim,01/22/2026,01/31/2026,140.10,Web
CH-01-00034,Adventure Works Retail 015,D103,Account access,01/24/2026,02/04/2026,78.60,Email
CH-01-00035,Fabrikam Digital 022,D018,Warranty claim,01/09/2026,01/17/2026,311.80,Phone
CH-01-00036,Contoso Research 029,D062,Technical support,01/24/2026,02/02/2026,205.30,Web
CH-01-00037,Northwind Logistics 036,D108,Technical support,01/15/2026,01/26/2026,130.80,Web
CH-01-00038,Adventure Works Analytics 043,D019,Technical support,01/29/2026,02/09/2026,716.00,Web
CH-01-00039,Fabrikam Services 050,D078,Account access,01/03/2026,,242.00,Email
CH-01-00040,Contoso Retail 057,D089,Delivery enquiry,01/11/2026,01/20/2026,640.30,Phone
CH-01-00041,Northwind Digitl 064,D035,Product return,01/07/2026,01/14/2026,779.40,Email
CH-01-00042,Adventure Works Research 071,D021,Product return,01/02/2026,01/10/2026,511.30,Web
CH-01-00043,Fabrikam Logistics 078,D070,Product return,01/11/2026,01/18/2026,609.80,Web
CH-01-00044,Contoso Analytics 085,D081,Technical support,01/19/2026,01/25/2026,380.90,Phone
CH-01-00045,Northwind Services 092,D085,Technical support,01/06/2026,01/08/2026,61.50,Phone
CH-01-00046,Adventure Works Retial 099,D008,Product return,01/31/2026,02/06/2026,59.90,Web
CH-01-00047,Fabrikam Digital 106,D084,Delivery enquiry,01/25/2026,02/06/2026,362.20,Email
CH-01-00048,Contoso Research 113,D015,Product return,01/01/2026,01/06/2026,534.80,Email
CH-01-00049,Northwind Logistics 120,D081,Account access,01/22/2026,02/02/2026,773.40,Email
CH-01-00050,Adventure Works Analytics 127,D104,Product return,01/30/2026,02/06/2026,492.60,Phone
CH-01-00051,Fabrikam Srvcs 134,D051,Account access,01/17/2026,01/26/2026,93.70,Email
CH-01-00052,Contoso Retail 141,D045,Account access,01/29/2026,02/02/2026,16.70,Web
CH-01-00053,Northwind Digital 148,D047,Delivery enquiry,01/31/2026,02/03/2026,418.00,Phone
CH-01-00054,Adventure Works Research 155,D016,Technical support,01/07/2026,01/10/2026,204.50,Web
CH-01-00055,Fabrikam Logistics 162,D075,Product return,01/13/2026,01/19/2026,326.20,Phone
CH-01-00056,Contoso Analytcs 169,D072,Delivery enquiry,01/04/2026,01/10/2026,268.90,Phone
CH-01-00057,Northwind Services 176,D026,Account access,01/12/2026,01/21/2026,172.80,Phone
CH-01-00058,Adventure Works Retail 183,D038,Account access,01/09/2026,,496.00,Web
CH-01-00059,Fabrikam Digital 190,D023,Account access,01/20/2026,01/26/2026,586.10,Phone
CH-01-00060,Contoso Research 197,D058,Warranty claim,01/19/2026,01/23/2026,705.40,Phone
CH-01-00061,Northwind Logistics 204,D044,Warranty claim,01/30/2026,02/11/2026,585.70,Phone
CH-01-00062,Adventure Works Analytics 211,D021,Delivery enquiry,01/23/2026,01/31/2026,232.00,Phone
CH-01-00063,Unregistered Partner 38,D026,Product return,01/15/2026,01/27/2026,123.30,Email
CH-01-00064,Contoso Oxford Trading,D108,Technical support,01/18/2026,01/26/2026,615.20,Phone
CH-01-00065,Northwind Logistics 012,D004,Product return,01/01/2026,01/13/2026,235.50,Web
CH-01-00066,Adventure Works Analytcs 019,D089,Technical support,01/30/2026,02/10/2026,363.10,Email
CH-01-00067,Fabrikam Services 026,D028,Warranty claim,01/12/2026,01/18/2026,17.00,Phone
CH-01-00068,Contoso Retail 033,D056,Account access,01/31/2026,02/07/2026,774.30,Web
CH-01-00069,Northwind Digital 040,D012,Product return,01/09/2026,01/18/2026,52.60,Web
CH-01-00070,Adventure Works Research 047,D017,Product return,01/18/2026,01/27/2026,32.20,Web
CH-01-00071,Fabrikam Logistics 054,D082,Warranty claim,01/07/2026,01/16/2026,730.50,Phone
CH-01-00072,Contoso Analytics 061,D098,Delivery enquiry,01/18/2026,01/20/2026,184.60,Web
CH-01-00073,Northwind Services 068,D107,Delivery enquiry,01/08/2026,01/18/2026,412.20,Web
CH-01-00074,Adventure Works Retail 075,D054,Warranty claim,01/25/2026,01/27/2026,582.80,Email
CH-01-00075,Fabrikam Digital 082,D105,Account access,01/02/2026,01/07/2026,323.70,Email
CH-01-00076,Contoso Research 089,D005,Delivery enquiry,01/15/2026,01/25/2026,294.80,Web
CH-01-00077,Northwind Logistics 096,D017,Product return,01/04/2026,,100.90,Phone
CH-01-00078,Adventure Works Analytics 103,D071,Warranty claim,01/10/2026,01/21/2026,501.30,Email
CH-01-00079,Fabrikam Services 110,D017,Warranty claim,01/19/2026,01/28/2026,605.00,Phone
CH-01-00080,Contoso Retail 117,D072,Product return,01/02/2026,01/06/2026,129.20,Web
CH-01-00081,Northwind Digitl 124,D006,Product return,01/21/2026,01/26/2026,820.70,Email
CH-01-00082,Adventure Works Research 131,D029,Product return,01/23/2026,01/26/2026,516.00,Phone
CH-01-00083,Fabrikam Logistics 138,D066,Product return,01/03/2026,01/07/2026,670.10,Email
CH-01-00084,Contoso Analytics 145,D024,Product return,01/07/2026,01/11/2026,596.80,Phone
CH-01-00085,Northwind Services 152,D013,Product return,01/09/2026,01/18/2026,271.80,Email
CH-01-00086,Adventure Works Retial 159,D069,Product return,01/11/2026,01/18/2026,734.50,Phone
CH-01-00087,Fabrikam Digital 166,D070,Technical support,01/22/2026,01/30/2026,233.60,Phone
CH-01-00088,Contoso Research 173,D067,Account access,01/07/2026,01/18/2026,266.30,Phone
CH-01-00089,Northwind Logistics 180,D030,Technical support,01/05/2026,01/14/2026,439.90,Phone
CH-01-00090,Adventure Works Analytics 187,D111,Account access,01/28/2026,02/04/2026,75.00,Web
CH-01-00091,Fabrikam Srvcs 194,D110,Technical support,01/11/2026,01/12/2026,575.80,Phone
CH-01-00092,Contoso Retail 201,D039,Delivery enquiry,01/13/2026,01/22/2026,91.30,Web
CH-01-00093,Northwind Digital 208,D098,Delivery enquiry,01/13/2026,01/25/2026,799.90,Phone
CH-01-00094,Unregistered Partner 35,D059,Technical support,01/21/2026,01/31/2026,324.80,Phone
CH-01-00095,University of Cambridge,D046,Product return,01/09/2026,01/21/2026,347.20,Web
CH-01-00096,Contoso Retial 009,D038,Warranty claim,01/29/2026,,747.80,Web
CH-01-00097,Northwind Digital 016,D104,Account access,01/06/2026,01/17/2026,210.80,Phone
CH-01-00098,Adventure Works Research 023,D057,Account access,01/26/2026,02/05/2026,310.30,Email
CH-01-00099,Fabrikam Logistics 030,D088,Account access,01/04/2026,01/05/2026,497.40,Phone
CH-01-00100,Contoso Analytics 037,D054,Warranty claim,01/03/2026,01/07/2026,192.70,Phone
CH-01-00101,Northwind Srvcs 044,D013,Delivery enquiry,01/23/2026,01/31/2026,736.90,Phone
CH-01-00102,Adventure Works Retail 051,D017,Product return,01/15/2026,01/26/2026,697.20,Phone
CH-01-00103,Fabrikam Digital 058,D088,Account access,01/29/2026,01/30/2026,789.50,Web
CH-01-00104,Contoso Research 065,D068,Account access,01/05/2026,01/06/2026,712.60,Email
CH-01-00105,Northwind Logistics 072,D006,Account access,01/03/2026,01/07/2026,593.00,Email
CH-01-00106,Adventure Works Analytcs 079,D065,Delivery enquiry,01/30/2026,01/31/2026,724.30,Web
CH-01-00107,Fabrikam Services 086,D089,Product return,01/30/2026,02/08/2026,522.50,Phone
CH-01-00108,Contoso Retail 093,D080,Technical support,01/26/2026,01/28/2026,481.40,Web
CH-01-00109,Northwind Digital 100,D063,Product return,01/23/2026,01/30/2026,235.20,Email
CH-01-00110,Adventure Works Research 107,D013,Delivery enquiry,01/29/2026,01/31/2026,708.60,Phone
CH-01-00111,Fabrikam Logistics 114,D034,Product return,01/18/2026,01/28/2026,29.30,Web
CH-01-00112,Contoso Analytics 121,D076,Technical support,01/31/2026,02/01/2026,814.70,Web
CH-01-00113,Northwind Services 128,D110,Warranty claim,01/04/2026,01/05/2026,556.90,Phone
CH-01-00114,Adventure Works Retail 135,D100,Warranty claim,01/12/2026,01/17/2026,724.20,Email
CH-01-00115,Fabrikam Digital 142,D052,Warranty claim,01/05/2026,,635.90,Phone
CH-01-00116,Contoso Research 149,D101,Product return,01/20/2026,02/01/2026,820.90,Email
CH-01-00117,Northwind Logistics 156,D034,Warranty claim,01/30/2026,02/05/2026,509.50,Phone
CH-01-00118,Adventure Works Analytics 163,D027,Technical support,01/22/2026,01/25/2026,210.80,Web
CH-01-00119,Fabrikam Services 170,D086,Delivery enquiry,01/08/2026,01/18/2026,718.40,Web
CH-01-00120,Contoso Retail 177,D021,Technical support,01/15/2026,01/16/2026,432.10,Email
CH-01-00121,Northwind Digitl 184,D058,Product return,01/14/2026,01/17/2026,504.60,Email
CH-01-00122,Adventure Works Research 191,D064,Warranty claim,01/13/2026,01/21/2026,253.20,Web
CH-01-00123,Fabrikam Logistics 198,D074,Delivery enquiry,01/18/2026,01/28/2026,653.70,Email
CH-01-00124,Contoso Analytics 205,D040,Delivery enquiry,01/02/2026,01/12/2026,668.10,Email
CH-01-00125,Unregistered Partner 32,D100,Product return,01/20/2026,01/30/2026,117.50,Phone
CH-01-00126,Adventure Works Retial 219,D041,Technical support,01/23/2026,01/29/2026,232.00,Web
CH-01-00127,Contoso Oxford Traders,D006,Delivery enquiry,01/25/2026,02/02/2026,640.10,Email
CH-01-00128,Contoso Analytics 013,D037,Technical support,01/06/2026,01/08/2026,679.50,Web
CH-01-00129,Northwind Services 020,D024,Warranty claim,01/07/2026,01/12/2026,263.90,Phone
CH-01-00130,Adventure Works Retail 027,D035,Technical support,01/08/2026,01/20/2026,443.90,Email
CH-01-00131,Fabrikam Digitl 034,D036,Warranty claim,01/26/2026,02/02/2026,485.30,Email
CH-01-00132,Contoso Research 041,D079,Account access,01/12/2026,01/21/2026,113.40,Email
CH-01-00133,Northwind Logistics 048,D079,Account access,01/17/2026,01/26/2026,792.20,Email
CH-01-00134,Adventure Works Analytics 055,D065,Product return,01/29/2026,,368.70,Phone
CH-01-00135,Fabrikam Services 062,D049,Delivery enquiry,01/14/2026,01/21/2026,39.90,Web
CH-01-00136,Contoso Retial 069,D075,Technical support,01/03/2026,01/11/2026,282.20,Email
CH-01-00137,Northwind Digital 076,D112,Product return,01/05/2026,01/16/2026,597.60,Phone
CH-01-00138,Adventure Works Research 083,D033,Product return,01/02/2026,01/14/2026,409.90,Email
CH-01-00139,Fabrikam Logistics 090,D093,Warranty claim,01/01/2026,01/13/2026,704.70,Email
CH-01-00140,Contoso Analytics 097,D059,Account access,01/18/2026,01/23/2026,562.70,Web
CH-01-00141,Northwind Srvcs 104,D086,Technical support,01/28/2026,02/04/2026,302.70,Email
CH-01-00142,Adventure Works Retail 111,D074,Technical support,01/13/2026,01/24/2026,620.20,Email
CH-01-00143,Fabrikam Digital 118,D084,Product return,01/08/2026,01/17/2026,321.00,Phone
CH-01-00144,Contoso Research 125,D049,Warranty claim,01/07/2026,01/09/2026,370.70,Web
CH-01-00145,Northwind Logistics 132,D104,Account access,01/20/2026,01/30/2026,158.10,Phone
CH-01-00146,Adventure Works Analytcs 139,D064,Technical support,01/12/2026,01/17/2026,446.20,Phone
CH-01-00147,Fabrikam Services 146,D104,Account access,01/24/2026,02/04/2026,244.40,Email
CH-01-00148,Contoso Retail 153,D020,Warranty claim,01/20/2026,01/30/2026,194.30,Phone
CH-01-00149,Northwind Digital 160,D104,Technical support,01/03/2026,01/11/2026,168.30,Phone
CH-01-00150,Adventure Works Research 167,D016,Technical support,01/17/2026,01/24/2026,296.10,Web
CH-01-00151,Fabrikam Logistics 174,D076,Technical support,01/06/2026,01/08/2026,701.60,Web
CH-01-00152,Contoso Analytics 181,D041,Technical support,01/08/2026,01/09/2026,507.60,Web
CH-01-00153,Northwind Services 188,D006,Account access,01/14/2026,,107.70,Web
CH-01-00154,Adventure Works Retail 195,D021,Account access,01/21/2026,02/01/2026,465.30,Web
CH-01-00155,Fabrikam Digital 202,D025,Product return,01/27/2026,02/01/2026,410.20,Phone
CH-01-00156,Unregistered Partner 29,D054,Account access,01/12/2026,01/18/2026,835.10,Web
CH-01-00157,Northwind Logistics 216,D091,Delivery enquiry,01/28/2026,02/09/2026,548.20,Phone
CH-01-00158,Imperial College London,D061,Account access,01/08/2026,01/16/2026,498.30,Web
CH-01-00159,Fabrikam Digital 010,D060,Delivery enquiry,01/15/2026,01/22/2026,64.70,Email
CH-01-00160,Contoso Research 017,D027,Delivery enquiry,01/04/2026,01/12/2026,379.80,Phone
CH-01-00161,Northwind Logistics 024,D025,Account access,01/28/2026,02/02/2026,820.70,Email
CH-01-00162,Adventure Works Analytics 031,D063,Delivery enquiry,01/20/2026,01/27/2026,131.10,Phone
CH-01-00163,Fabrikam Services 038,D036,Account access,01/24/2026,01/27/2026,547.30,Web
CH-01-00164,Contoso Retail 045,D005,Warranty claim,01/24/2026,01/27/2026,703.40,Email
CH-01-00165,Northwind Digital 052,D032,Technical support,01/22/2026,02/03/2026,393.50,Email
CH-01-00166,Adventure Works Research 059,D089,Technical support,01/23/2026,01/25/2026,40.60,Email
CH-01-00167,Fabrikam Logistics 066,D011,Warranty claim,01/24/2026,02/02/2026,101.20,Phone
CH-01-00168,Contoso Analytics 073,D047,Technical support,01/26/2026,02/06/2026,149.20,Web
CH-01-00169,Northwind Services 080,D048,Warranty claim,01/04/2026,01/12/2026,848.90,Email
CH-01-00170,Adventure Works Retail 087,D071,Product return,01/09/2026,01/17/2026,331.60,Web
CH-01-00171,Fabrikam Digitl 094,D015,Delivery enquiry,01/15/2026,01/22/2026,736.60,Email
CH-01-00172,Contoso Research 101,D005,Product return,01/09/2026,,514.90,Phone
CH-01-00173,Northwind Logistics 108,D007,Delivery enquiry,01/19/2026,01/31/2026,464.60,Email
CH-01-00174,Adventure Works Analytics 115,D030,Account access,01/07/2026,01/12/2026,60.60,Email
CH-01-00175,Fabrikam Services 122,D017,Account access,01/21/2026,01/27/2026,728.90,Web
CH-01-00176,Contoso Retial 129,D084,Account access,01/07/2026,01/08/2026,586.70,Email
CH-01-00177,Northwind Digital 136,D072,Product return,01/26/2026,02/02/2026,636.70,Web
CH-01-00178,Adventure Works Research 143,D010,Technical support,01/16/2026,01/23/2026,162.30,Phone
CH-01-00179,Fabrikam Logistics 150,D031,Delivery enquiry,01/17/2026,01/23/2026,720.00,Email
CH-01-00180,Contoso Analytics 157,D056,Warranty claim,01/11/2026,01/17/2026,603.50,Web
CH-01-00181,Northwind Srvcs 164,D108,Product return,01/11/2026,01/22/2026,155.20,Web
CH-01-00182,Adventure Works Retail 171,D086,Technical support,01/10/2026,01/16/2026,397.90,Web
CH-01-00183,Fabrikam Digital 178,D066,Account access,01/27/2026,02/03/2026,145.00,Phone
CH-01-00184,Contoso Research 185,D036,Technical support,01/18/2026,01/30/2026,677.10,Email
CH-01-00185,Northwind Logistics 192,D079,Warranty claim,01/15/2026,01/19/2026,547.00,Web
CH-01-00186,Adventure Works Analytcs 199,D061,Warranty claim,01/12/2026,01/13/2026,649.90,Phone
CH-01-00187,Unregistered Partner 26,D098,Product return,01/31/2026,02/08/2026,290.10,Web
CH-01-00188,Contoso Retail 213,D067,Technical support,01/22/2026,01/29/2026,281.60,Email
CH-01-00189,Northwind Digital 220,D051,Account access,01/02/2026,01/04/2026,568.20,Phone
CH-01-00190,Fabrikam Retail Group,D045,Product return,01/14/2026,01/25/2026,493.70,Phone
CH-01-00191,Fabrikam Srvcs 014,D109,Delivery enquiry,01/14/2026,,23.90,Web
CH-01-00192,Contoso Retail 021,D100,Product return,01/24/2026,01/29/2026,368.20,Web
CH-01-00193,Northwind Digital 028,D091,Warranty claim,01/13/2026,01/17/2026,507.40,Web
CH-01-00194,Adventure Works Research 035,D057,Technical support,01/29/2026,02/06/2026,769.20,Phone
CH-01-00195,Fabrikam Logistics 042,D025,Account access,01/05/2026,01/12/2026,148.90,Phone
CH-01-00196,Contoso Analytcs 049,D048,Delivery enquiry,01/28/2026,02/04/2026,365.30,Email
CH-01-00197,Northwind Services 056,D048,Delivery enquiry,01/30/2026,02/11/2026,739.80,Phone
CH-01-00198,Adventure Works Retail 063,D065,Delivery enquiry,01/18/2026,01/20/2026,63.40,Phone
CH-01-00199,Fabrikam Digital 070,D096,Account access,01/26/2026,02/05/2026,672.30,Email
CH-01-00200,Contoso Research 077,D032,Product return,01/09/2026,01/16/2026,681.90,Email
CH-01-00201,Northwind Logistics 084,D024,Product return,01/15/2026,01/27/2026,801.50,Phone
CH-01-00202,Adventure Works Analytics 091,D006,Delivery enquiry,01/06/2026,01/13/2026,236.20,Email
CH-01-00203,Fabrikam Services 098,D081,Delivery enquiry,01/18/2026,01/23/2026,316.00,Email
CH-01-00204,Contoso Retail 105,D070,Warranty claim,01/17/2026,01/28/2026,624.90,Phone
CH-01-00205,Northwind Digital 112,D105,Warranty claim,01/20/2026,01/21/2026,245.40,Phone
CH-01-00206,Adventure Works Research 119,D097,Account access,01/13/2026,01/15/2026,289.10,Phone
CH-01-00207,Fabrikam Logistics 126,D005,Delivery enquiry,01/22/2026,01/23/2026,520.20,Email
CH-01-00208,Contoso Analytics 133,D068,Account access,01/10/2026,01/14/2026,28.30,Web
CH-01-00209,Northwind Services 140,D094,Warranty claim,01/28/2026,02/02/2026,232.60,Phone
CH-01-00210,Adventure Works Retail 147,D084,Warranty claim,01/20/2026,,580.60,Web
CH-01-00211,Fabrikam Digitl 154,D066,Account access,01/29/2026,02/07/2026,604.60,Email
CH-01-00212,Contoso Research 161,D046,Delivery enquiry,01/05/2026,01/06/2026,416.80,Web
CH-01-00213,Northwind Logistics 168,D030,Account access,01/15/2026,01/27/2026,493.80,Web
CH-01-00214,Adventure Works Analytics 175,D039,Technical support,01/18/2026,01/19/2026,213.60,Email
CH-01-00215,Fabrikam Services 182,D073,Warranty claim,01/06/2026,01/16/2026,71.70,Email
CH-01-00216,Contoso Retial 189,D051,Product return,01/15/2026,01/25/2026,50.70,Phone
CH-01-00217,Northwind Digital 196,D006,Account access,01/04/2026,01/07/2026,847.30,Phone
CH-01-00218,Unregistered Partner 23,D054,Warranty claim,01/29/2026,02/01/2026,212.00,Email
CH-01-00219,Fabrikam Logistics 210,D069,Technical support,01/04/2026,01/14/2026,182.00,Phone
CH-01-00220,Contoso Analytics 217,D084,Product return,01/08/2026,01/09/2026,16.30,Phone
CH-01-00221,Oxford Univ Press,D084,Product return,01/10/2026,01/17/2026,81.70,Phone
CH-01-00222,Adventure Works Research 011,D037,Delivery enquiry,01/03/2026,01/11/2026,698.40,Phone
CH-01-00223,Fabrikam Logistics 018,D036,Technical support,01/18/2026,01/27/2026,395.80,Web
CH-01-00224,Contoso Analytics 025,D054,Account access,01/19/2026,01/30/2026,408.30,Web
CH-01-00225,Northwind Services 032,D026,Account access,01/07/2026,01/15/2026,299.90,Email
CH-01-00226,Adventure Works Retial 039,D076,Technical support,01/03/2026,01/05/2026,690.60,Web
CH-01-00227,Fabrikam Digital 046,D027,Technical support,01/16/2026,01/21/2026,225.80,Email
CH-01-00228,Contoso Research 053,D053,Technical support,01/12/2026,01/15/2026,330.30,Phone
CH-01-00229,Northwind Logistics 060,D069,Technical support,01/04/2026,,797.00,Web
CH-01-00230,Adventure Works Analytics 067,D108,Technical support,01/26/2026,01/28/2026,645.30,Phone
CH-01-00231,Fabrikam Srvcs 074,D038,Product return,01/25/2026,01/28/2026,522.90,Web
CH-01-00232,Contoso Retail 081,D016,Technical support,01/21/2026,01/22/2026,156.50,Phone
CH-01-00233,Northwind Digital 088,D048,Delivery enquiry,01/20/2026,01/29/2026,407.90,Email
CH-01-00234,Adventure Works Research 095,D068,Warranty claim,01/20/2026,01/28/2026,266.80,Web
CH-01-00235,Fabrikam Logistics 102,D026,Technical support,01/12/2026,01/17/2026,571.80,Web
CH-01-00236,Contoso Analytcs 109,D045,Account access,01/26/2026,01/31/2026,23.10,Phone
CH-01-00237,Northwind Services 116,D047,Account access,01/20/2026,01/30/2026,781.00,Phone
CH-01-00238,Adventure Works Retail 123,D094,Product return,01/29/2026,02/08/2026,277.80,Web
CH-01-00239,Fabrikam Digital 130,D067,Product return,01/16/2026,01/25/2026,686.80,Email
CH-01-00240,Contoso Research 137,D042,Product return,01/24/2026,02/04/2026,459.20,Email
CH-01-00241,Northwind Logistics 144,D046,Technical support,01/24/2026,02/01/2026,370.20,Email
CH-01-00242,Adventure Works Analytics 151,D110,Technical support,01/15/2026,01/16/2026,288.30,Email
CH-01-00243,Fabrikam Services 158,D012,Account access,01/11/2026,01/20/2026,654.70,Web
CH-01-00244,Contoso Retail 165,D030,Warranty claim,01/31/2026,02/04/2026,127.90,Phone
CH-01-00245,Northwind Digital 172,D086,Account access,01/18/2026,01/26/2026,337.80,Email
CH-01-00246,Adventure Works Research 179,D064,Delivery enquiry,01/21/2026,01/30/2026,580.70,Email
CH-01-00247,Fabrikam Logistics 186,D086,Delivery enquiry,01/13/2026,01/19/2026,305.80,Email
CH-01-00248,Contoso Analytics 193,D017,Account access,01/16/2026,,642.80,Phone
CH-01-00249,Unregistered Partner 20,D034,Delivery enquiry,01/23/2026,01/26/2026,185.40,Phone
CH-01-00250,Adventure Works Retail 207,D080,Product return,01/23/2026,01/29/2026,508.50,Email
CH-01-00251,Fabrikam Digitl 214,D025,Technical support,01/05/2026,01/06/2026,634.40,Web
CH-01-00252,University of Oxford,D059,Account access,01/19/2026,01/24/2026,293.00,Web
CH-01-00253,Adventure Works UK,D043,Delivery enquiry,01/17/2026,01/23/2026,580.00,Phone
CH-01-00254,Adventure Works Retail 015,D105,Product return,01/19/2026,01/25/2026,402.20,Email
CH-01-00255,Fabrikam Digital 022,D047,Account access,01/03/2026,01/07/2026,714.60,Phone
CH-01-00256,Contoso Research 029,D076,Product return,01/15/2026,01/18/2026,286.10,Phone
CH-01-00257,Northwind Logistics 036,D023,Account access,01/14/2026,01/22/2026,98.70,Web
CH-01-00258,Adventure Works Analytics 043,D029,Technical support,01/20/2026,01/23/2026,428.80,Phone
CH-01-00259,Fabrikam Services 050,D081,Product return,01/10/2026,01/16/2026,397.40,Web
CH-01-00260,Contoso Retail 057,D108,Technical support,01/15/2026,01/22/2026,704.20,Phone
CH-01-00261,Northwind Digitl 064,D034,Account access,01/03/2026,01/08/2026,18.40,Email
CH-01-00262,Adventure Works Research 071,D044,Technical support,01/16/2026,01/28/2026,700.80,Web
CH-01-00263,Fabrikam Logistics 078,D054,Warranty claim,01/11/2026,01/14/2026,240.10,Email
CH-01-00264,Contoso Analytics 085,D056,Warranty claim,01/12/2026,01/23/2026,270.70,Web
CH-01-00265,Northwind Services 092,D044,Delivery enquiry,01/24/2026,01/25/2026,269.90,Email
CH-01-00266,Adventure Works Retial 099,D059,Product return,01/11/2026,01/22/2026,446.90,Web
CH-01-00267,Fabrikam Digital 106,D069,Warranty claim,01/27/2026,,39.80,Phone
CH-01-00268,Contoso Research 113,D101,Product return,01/12/2026,01/16/2026,553.20,Email
CH-01-00269,Northwind Logistics 120,D111,Product return,01/11/2026,01/15/2026,703.20,Web
CH-01-00270,Adventure Works Analytics 127,D013,Warranty claim,01/19/2026,01/21/2026,255.40,Email
CH-01-00271,Fabrikam Srvcs 134,D043,Warranty claim,01/18/2026,01/20/2026,162.70,Email
CH-01-00272,Contoso Retail 141,D076,Technical support,01/22/2026,02/03/2026,394.30,Phone
CH-01-00273,Northwind Digital 148,D101,Product return,01/13/2026,01/22/2026,113.10,Phone
CH-01-00274,Adventure Works Research 155,D066,Technical support,01/11/2026,01/20/2026,604.70,Email
CH-01-00275,Fabrikam Logistics 162,D018,Account access,01/23/2026,01/27/2026,671.50,Web
CH-01-00276,Contoso Analytcs 169,D083,Delivery enquiry,01/22/2026,01/24/2026,703.30,Web
CH-01-00277,Northwind Services 176,D060,Account access,01/25/2026,01/28/2026,659.40,Web
CH-01-00278,Adventure Works Retail 183,D105,Warranty claim,01/08/2026,01/18/2026,329.00,Phone
CH-01-00279,Fabrikam Digital 190,D012,Technical support,01/04/2026,01/14/2026,350.60,Email
CH-01-00280,Unregistered Partner 17,D024,Technical support,01/25/2026,01/27/2026,595.00,Email
CH-01-00281,Northwind Logistics 204,D082,Warranty claim,01/18/2026,01/29/2026,580.90,Email
CH-01-00282,Adventure Works Analytics 211,D098,Product return,01/11/2026,01/18/2026,74.50,Phone
CH-01-00283,Fabrikam Services 218,D091,Technical support,01/13/2026,01/22/2026,726.00,Phone
CH-01-00284,Contoso Oxford Trading,D004,Delivery enquiry,01/10/2026,01/16/2026,333.20,Email
CH-01-00285,Northwind Logistics 012,D075,Warranty claim,01/20/2026,01/24/2026,785.70,Web
