DepartmentID,Month,RequestType,ExtractBatch,NumberOfRequests
D003,2026-01-01,Delivery enquiry,B1,23
D003,2026-01-01,Delivery enquiry,B2,5
D003,2026-01-01,Product return,B1,9
D003,2026-01-01,Product return,B2,1
D003,2026-01-01,Warranty claim,B1,10
D003,2026-01-01,Warranty claim,B2,4
D003,2026-01-01,Account access,B1,22
D003,2026-01-01,Account access,B2,16
D003,2026-01-01,Technical support,B1,23
D003,2026-01-01,Technical support,B2,18
D003,2026-02-01,Delivery enquiry,B1,9
D003,2026-02-01,Delivery enquiry,B2,4
D003,2026-02-01,Product return,B1,18
D003,2026-02-01,Product return,B2,8
D003,2026-02-01,Warranty claim,B1,11
D003,2026-02-01,Warranty claim,B2,17
D003,2026-02-01,Account access,B1,14
D003,2026-02-01,Account access,B2,14
D003,2026-02-01,Technical support,B1,3
D003,2026-02-01,Technical support,B2,14
D003,2026-03-01,Delivery enquiry,B1,24
D003,2026-03-01,Delivery enquiry,B2,7
D003,2026-03-01,Product return,B1,13
D003,2026-03-01,Product return,B2,2
D003,2026-03-01,Warranty claim,B1,14
D003,2026-03-01,Warranty claim,B2,13
D003,2026-03-01,Account access,B1,24
D003,2026-03-01,Account access,B2,23
D003,2026-03-01,Technical support,B1,13
D003,2026-03-01,Technical support,B2,14
D004,2026-01-01,Delivery enquiry,B1,6
D004,2026-01-01,Delivery enquiry,B2,21
D004,2026-01-01,Product return,B1,20
D004,2026-01-01,Product return,B2,18
D004,2026-01-01,Warranty claim,B1,11
D004,2026-01-01,Warranty claim,B2,16
D004,2026-01-01,Account access,B1,16
D004,2026-01-01,Account access,B2,1
D004,2026-01-01,Technical support,B1,5
D004,2026-01-01,Technical support,B2,15
D004,2026-02-01,Delivery enquiry,B1,15
D004,2026-02-01,Delivery enquiry,B2,8
D004,2026-02-01,Product return,B1,21
D004,2026-02-01,Product return,B2,18
D004,2026-02-01,Warranty claim,B1,17
D004,2026-02-01,Warranty claim,B2,7
D004,2026-02-01,Account access,B1,14
D004,2026-02-01,Account access,B2,14
D004,2026-02-01,Technical support,B1,4
D004,2026-02-01,Technical support,B2,7
D004,2026-03-01,Delivery enquiry,B1,6
D004,2026-03-01,Delivery enquiry,B2,16
D004,2026-03-01,Product return,B1,5
D004,2026-03-01,Product return,B2,9
D004,2026-03-01,Warranty claim,B1,18
D004,2026-03-01,Warranty claim,B2,4
D004,2026-03-01,Account access,B1,4
D004,2026-03-01,Account access,B2,9
D004,2026-03-01,Technical support,B1,7
D004,2026-03-01,Technical support,B2,11
D005,2026-01-01,Delivery enquiry,B1,17
D005,2026-01-01,Delivery enquiry,B2,9
D005,2026-01-01,Product return,B1,21
D005,2026-01-01,Product return,B2,10
D005,2026-01-01,Warranty claim,B1,2
D005,2026-01-01,Warranty claim,B2,21
D005,2026-01-01,Account access,B1,2
D005,2026-01-01,Account access,B2,13
D005,2026-01-01,Technical support,B1,17
D005,2026-01-01,Technical support,B2,3
D005,2026-02-01,Delivery enquiry,B1,8
D005,2026-02-01,Delivery enquiry,B2,16
D005,2026-02-01,Product return,B1,9
D005,2026-02-01,Product return,B2,20
D005,2026-02-01,Warranty claim,B1,15
D005,2026-02-01,Warranty claim,B2,22
D005,2026-02-01,Account access,B1,23
D005,2026-02-01,Account access,B2,1
D005,2026-02-01,Technical support,B1,18
D005,2026-02-01,Technical support,B2,22
D005,2026-03-01,Delivery enquiry,B1,6
D005,2026-03-01,Delivery enquiry,B2,24
D005,2026-03-01,Product return,B1,1
D005,2026-03-01,Product return,B2,7
D005,2026-03-01,Warranty claim,B1,23
D005,2026-03-01,Warranty claim,B2,24
D005,2026-03-01,Account access,B1,4
D005,2026-03-01,Account access,B2,19
D005,2026-03-01,Technical support,B1,17
D005,2026-03-01,Technical support,B2,23
D006,2026-01-01,Delivery enquiry,B1,2
D006,2026-01-01,Delivery enquiry,B2,8
D006,2026-01-01,Product return,B1,1
D006,2026-01-01,Product return,B2,2
D006,2026-01-01,Warranty claim,B1,18
D006,2026-01-01,Warranty claim,B2,1
D006,2026-01-01,Account access,B1,20
D006,2026-01-01,Account access,B2,9
D006,2026-01-01,Technical support,B1,14
D006,2026-01-01,Technical support,B2,20
D006,2026-02-01,Delivery enquiry,B1,14
D006,2026-02-01,Delivery enquiry,B2,17
D006,2026-02-01,Product return,B1,10
D006,2026-02-01,Product return,B2,11
D006,2026-02-01,Warranty claim,B1,9
D006,2026-02-01,Warranty claim,B2,2
D006,2026-02-01,Account access,B1,18
D006,2026-02-01,Account access,B2,1
D006,2026-02-01,Technical support,B1,8
D006,2026-02-01,Technical support,B2,14
D006,2026-03-01,Delivery enquiry,B1,6
D006,2026-03-01,Delivery enquiry,B2,18
D006,2026-03-01,Product return,B1,18
D006,2026-03-01,Product return,B2,17
D006,2026-03-01,Warranty claim,B1,7
D006,2026-03-01,Warranty claim,B2,5
D006,2026-03-01,Account access,B1,14
D006,2026-03-01,Account access,B2,21
D006,2026-03-01,Technical support,B1,21
D006,2026-03-01,Technical support,B2,10
D007,2026-01-01,Delivery enquiry,B1,10
D007,2026-01-01,Delivery enquiry,B2,17
D007,2026-01-01,Product return,B1,4
D007,2026-01-01,Product return,B2,21
D007,2026-01-01,Warranty claim,B1,2
D007,2026-01-01,Warranty claim,B2,7
D007,2026-01-01,Account access,B1,7
D007,2026-01-01,Account access,B2,16
D007,2026-01-01,Technical support,B1,4
D007,2026-01-01,Technical support,B2,1
D007,2026-02-01,Delivery enquiry,B1,15
D007,2026-02-01,Delivery enquiry,B2,11
D007,2026-02-01,Product return,B1,14
D007,2026-02-01,Product return,B2,8
D007,2026-02-01,Warranty claim,B1,23
D007,2026-02-01,Warranty claim,B2,17
D007,2026-02-01,Account access,B1,7
D007,2026-02-01,Account access,B2,12
D007,2026-02-01,Technical support,B1,7
D007,2026-02-01,Technical support,B2,20
D007,2026-03-01,Delivery enquiry,B1,17
D007,2026-03-01,Delivery enquiry,B2,13
D007,2026-03-01,Product return,B1,8
D007,2026-03-01,Product return,B2,13
D007,2026-03-01,Warranty claim,B1,15
D007,2026-03-01,Warranty claim,B2,12
D007,2026-03-01,Account access,B1,21
D007,2026-03-01,Account access,B2,22
D007,2026-03-01,Technical support,B1,23
D007,2026-03-01,Technical support,B2,22
D008,2026-01-01,Delivery enquiry,B1,9
D008,2026-01-01,Delivery enquiry,B2,9
D008,2026-01-01,Product return,B1,1
D008,2026-01-01,Product return,B2,11
D008,2026-01-01,Warranty claim,B1,3
D008,2026-01-01,Warranty claim,B2,13
D008,2026-01-01,Account access,B1,5
D008,2026-01-01,Account access,B2,8
D008,2026-01-01,Technical support,B1,24
D008,2026-01-01,Technical support,B2,18
D008,2026-02-01,Delivery enquiry,B1,9
D008,2026-02-01,Delivery enquiry,B2,16
D008,2026-02-01,Product return,B1,21
D008,2026-02-01,Product return,B2,24
D008,2026-02-01,Warranty claim,B1,10
D008,2026-02-01,Warranty claim,B2,20
D008,2026-02-01,Account access,B1,1
D008,2026-02-01,Account access,B2,21
D008,2026-02-01,Technical support,B1,12
D008,2026-02-01,Technical support,B2,22
D008,2026-03-01,Delivery enquiry,B1,19
D008,2026-03-01,Delivery enquiry,B2,24
D008,2026-03-01,Product return,B1,13
D008,2026-03-01,Product return,B2,10
D008,2026-03-01,Warranty claim,B1,3
D008,2026-03-01,Warranty claim,B2,24
D008,2026-03-01,Account access,B1,19
D008,2026-03-01,Account access,B2,11
D008,2026-03-01,Technical support,B1,22
D008,2026-03-01,Technical support,B2,13
D009,2026-01-01,Delivery enquiry,B1,3
D009,2026-01-01,Delivery enquiry,B2,10
D009,2026-01-01,Product return,B1,17
D009,2026-01-01,Product return,B2,20
D009,2026-01-01,Warranty claim,B1,21
D009,2026-01-01,Warranty claim,B2,15
D009,2026-01-01,Account access,B1,4
D009,2026-01-01,Account access,B2,22
D009,2026-01-01,Technical support,B1,18
D009,2026-01-01,Technical support,B2,7
D009,2026-02-01,Delivery enquiry,B1,7
D009,2026-02-01,Delivery enquiry,B2,22
D009,2026-02-01,Product return,B1,16
D009,2026-02-01,Product return,B2,3
D009,2026-02-01,Warranty claim,B1,10
D009,2026-02-01,Warranty claim,B2,14
D009,2026-02-01,Account access,B1,3
D009,2026-02-01,Account access,B2,8
D009,2026-02-01,Technical support,B1,1
D009,2026-02-01,Technical support,B2,9
D009,2026-03-01,Delivery enquiry,B1,20
D009,2026-03-01,Delivery enquiry,B2,19
D009,2026-03-01,Product return,B1,16
D009,2026-03-01,Product return,B2,11
D009,2026-03-01,Warranty claim,B1,8
D009,2026-03-01,Warranty claim,B2,9
D009,2026-03-01,Account access,B1,20
D009,2026-03-01,Account access,B2,9
D009,2026-03-01,Technical support,B1,10
D009,2026-03-01,Technical support,B2,15
D010,2026-01-01,Delivery enquiry,B1,19
D010,2026-01-01,Delivery enquiry,B2,19
D010,2026-01-01,Product return,B1,13
D010,2026-01-01,Product return,B2,18
D010,2026-01-01,Warranty claim,B1,6
D010,2026-01-01,Warranty claim,B2,22
D010,2026-01-01,Account access,B1,22
D010,2026-01-01,Account access,B2,2
D010,2026-01-01,Technical support,B1,5
D010,2026-01-01,Technical support,B2,17
D010,2026-02-01,Delivery enquiry,B1,17
D010,2026-02-01,Delivery enquiry,B2,1
D010,2026-02-01,Product return,B1,12
D010,2026-02-01,Product return,B2,8
D010,2026-02-01,Warranty claim,B1,12
D010,2026-02-01,Warranty claim,B2,6
D010,2026-02-01,Account access,B1,9
D010,2026-02-01,Account access,B2,2
D010,2026-02-01,Technical support,B1,24
D010,2026-02-01,Technical support,B2,4
D010,2026-03-01,Delivery enquiry,B1,22
D010,2026-03-01,Delivery enquiry,B2,12
D010,2026-03-01,Product return,B1,19
D010,2026-03-01,Product return,B2,23
D010,2026-03-01,Warranty claim,B1,22
D010,2026-03-01,Warranty claim,B2,6
D010,2026-03-01,Account access,B1,7
D010,2026-03-01,Account access,B2,12
D010,2026-03-01,Technical support,B1,11
D010,2026-03-01,Technical support,B2,6
D011,2026-01-01,Delivery enquiry,B1,16
D011,2026-01-01,Delivery enquiry,B2,3
D011,2026-01-01,Product return,B1,24
D011,2026-01-01,Product return,B2,2
D011,2026-01-01,Warranty claim,B1,22
D011,2026-01-01,Warranty claim,B2,17
D011,2026-01-01,Account access,B1,22
D011,2026-01-01,Account access,B2,14
D011,2026-01-01,Technical support,B1,15
D011,2026-01-01,Technical support,B2,7
D011,2026-02-01,Delivery enquiry,B1,23
D011,2026-02-01,Delivery enquiry,B2,18
D011,2026-02-01,Product return,B1,23
D011,2026-02-01,Product return,B2,4
D011,2026-02-01,Warranty claim,B1,23
D011,2026-02-01,Warranty claim,B2,14
D011,2026-02-01,Account access,B1,7
D011,2026-02-01,Account access,B2,22
D011,2026-02-01,Technical support,B1,3
D011,2026-02-01,Technical support,B2,22
D011,2026-03-01,Delivery enquiry,B1,18
D011,2026-03-01,Delivery enquiry,B2,24
D011,2026-03-01,Product return,B1,1
D011,2026-03-01,Product return,B2,10
D011,2026-03-01,Warranty claim,B1,8
D011,2026-03-01,Warranty claim,B2,21
D011,2026-03-01,Account access,B1,8
D011,2026-03-01,Account access,B2,13
D011,2026-03-01,Technical support,B1,10
D011,2026-03-01,Technical support,B2,12
D012,2026-01-01,Delivery enquiry,B1,3
D012,2026-01-01,Delivery enquiry,B2,12
D012,2026-01-01,Product return,B1,17
D012,2026-01-01,Product return,B2,2
D012,2026-01-01,Warranty claim,B1,8
D012,2026-01-01,Warranty claim,B2,11
D012,2026-01-01,Account access,B1,9
D012,2026-01-01,Account access,B2,8
D012,2026-01-01,Technical support,B1,1
D012,2026-01-01,Technical support,B2,18
D012,2026-02-01,Delivery enquiry,B1,1
D012,2026-02-01,Delivery enquiry,B2,4
D012,2026-02-01,Product return,B1,18
D012,2026-02-01,Product return,B2,3
D012,2026-02-01,Warranty claim,B1,8
D012,2026-02-01,Warranty claim,B2,3
D012,2026-02-01,Account access,B1,22
D012,2026-02-01,Account access,B2,11
D012,2026-02-01,Technical support,B1,14
D012,2026-02-01,Technical support,B2,23
D012,2026-03-01,Delivery enquiry,B1,7
D012,2026-03-01,Delivery enquiry,B2,4
D012,2026-03-01,Product return,B1,8
D012,2026-03-01,Product return,B2,17
D012,2026-03-01,Warranty claim,B1,5
D012,2026-03-01,Warranty claim,B2,5
D012,2026-03-01,Account access,B1,4
D012,2026-03-01,Account access,B2,12
D012,2026-03-01,Technical support,B1,8
D012,2026-03-01,Technical support,B2,17
D013,2026-01-01,Delivery enquiry,B1,17
D013,2026-01-01,Delivery enquiry,B2,22
D013,2026-01-01,Product return,B1,19
D013,2026-01-01,Product return,B2,14
D013,2026-01-01,Warranty claim,B1,23
D013,2026-01-01,Warranty claim,B2,16
D013,2026-01-01,Account access,B1,15
D013,2026-01-01,Account access,B2,13
D013,2026-01-01,Technical support,B1,7
D013,2026-01-01,Technical support,B2,22
D013,2026-02-01,Delivery enquiry,B1,10
D013,2026-02-01,Delivery enquiry,B2,3
D013,2026-02-01,Product return,B1,22
D013,2026-02-01,Product return,B2,3
D013,2026-02-01,Warranty claim,B1,15
D013,2026-02-01,Warranty claim,B2,21
D013,2026-02-01,Account access,B1,7
D013,2026-02-01,Account access,B2,1
D013,2026-02-01,Technical support,B1,14
D013,2026-02-01,Technical support,B2,9
D013,2026-03-01,Delivery enquiry,B1,23
D013,2026-03-01,Delivery enquiry,B2,7
D013,2026-03-01,Product return,B1,16
D013,2026-03-01,Product return,B2,16
D013,2026-03-01,Warranty claim,B1,3
D013,2026-03-01,Warranty claim,B2,11
D013,2026-03-01,Account access,B1,17
D013,2026-03-01,Account access,B2,20
D013,2026-03-01,Technical support,B1,11
D013,2026-03-01,Technical support,B2,6
D014,2026-01-01,Delivery enquiry,B1,3
D014,2026-01-01,Delivery enquiry,B2,3
D014,2026-01-01,Product return,B1,19
D014,2026-01-01,Product return,B2,24
D014,2026-01-01,Warranty claim,B1,9
D014,2026-01-01,Warranty claim,B2,5
D014,2026-01-01,Account access,B1,19
D014,2026-01-01,Account access,B2,23
D014,2026-01-01,Technical support,B1,3
D014,2026-01-01,Technical support,B2,17
D014,2026-02-01,Delivery enquiry,B1,11
D014,2026-02-01,Delivery enquiry,B2,22
D014,2026-02-01,Product return,B1,7
D014,2026-02-01,Product return,B2,10
D014,2026-02-01,Warranty claim,B1,10
D014,2026-02-01,Warranty claim,B2,4
D014,2026-02-01,Account access,B1,8
D014,2026-02-01,Account access,B2,9
D014,2026-02-01,Technical support,B1,6
D014,2026-02-01,Technical support,B2,19
D014,2026-03-01,Delivery enquiry,B1,4
D014,2026-03-01,Delivery enquiry,B2,23
D014,2026-03-01,Product return,B1,4
D014,2026-03-01,Product return,B2,20
D014,2026-03-01,Warranty claim,B1,5
D014,2026-03-01,Warranty claim,B2,17
D014,2026-03-01,Account access,B1,18
D014,2026-03-01,Account access,B2,16
D014,2026-03-01,Technical support,B1,6
D014,2026-03-01,Technical support,B2,3
D015,2026-01-01,Delivery enquiry,B1,23
D015,2026-01-01,Delivery enquiry,B2,4
D015,2026-01-01,Product return,B1,11
D015,2026-01-01,Product return,B2,12
D015,2026-01-01,Warranty claim,B1,7
D015,2026-01-01,Warranty claim,B2,20
D015,2026-01-01,Account access,B1,20
D015,2026-01-01,Account access,B2,12
D015,2026-01-01,Technical support,B1,16
D015,2026-01-01,Technical support,B2,4
D015,2026-02-01,Delivery enquiry,B1,3
D015,2026-02-01,Delivery enquiry,B2,21
D015,2026-02-01,Product return,B1,21
D015,2026-02-01,Product return,B2,5
D015,2026-02-01,Warranty claim,B1,9
D015,2026-02-01,Warranty claim,B2,3
D015,2026-02-01,Account access,B1,8
D015,2026-02-01,Account access,B2,19
D015,2026-02-01,Technical support,B1,8
D015,2026-02-01,Technical support,B2,24
D015,2026-03-01,Delivery enquiry,B1,10
D015,2026-03-01,Delivery enquiry,B2,3
D015,2026-03-01,Product return,B1,19
D015,2026-03-01,Product return,B2,8
D015,2026-03-01,Warranty claim,B1,22
D015,2026-03-01,Warranty claim,B2,11
D015,2026-03-01,Account access,B1,3
D015,2026-03-01,Account access,B2,8
D015,2026-03-01,Technical support,B1,5
D015,2026-03-01,Technical support,B2,24
D016,2026-01-01,Delivery enquiry,B1,24
D016,2026-01-01,Delivery enquiry,B2,21
D016,2026-01-01,Product return,B1,24
D016,2026-01-01,Product return,B2,17
D016,2026-01-01,Warranty claim,B1,1
D016,2026-01-01,Warranty claim,B2,12
D016,2026-01-01,Account access,B1,12
D016,2026-01-01,Account access,B2,6
D016,2026-01-01,Technical support,B1,23
D016,2026-01-01,Technical support,B2,24
D016,2026-02-01,Delivery enquiry,B1,3
D016,2026-02-01,Delivery enquiry,B2,11
D016,2026-02-01,Product return,B1,5
D016,2026-02-01,Product return,B2,15
D016,2026-02-01,Warranty claim,B1,24
D016,2026-02-01,Warranty claim,B2,20
D016,2026-02-01,Account access,B1,20
D016,2026-02-01,Account access,B2,18
D016,2026-02-01,Technical support,B1,3
D016,2026-02-01,Technical support,B2,23
D016,2026-03-01,Delivery enquiry,B1,20
D016,2026-03-01,Delivery enquiry,B2,8
D016,2026-03-01,Product return,B1,21
D016,2026-03-01,Product return,B2,12
D016,2026-03-01,Warranty claim,B1,12
D016,2026-03-01,Warranty claim,B2,22
D016,2026-03-01,Account access,B1,2
D016,2026-03-01,Account access,B2,5
D016,2026-03-01,Technical support,B1,21
D016,2026-03-01,Technical support,B2,5
D017,2026-01-01,Delivery enquiry,B1,18
D017,2026-01-01,Delivery enquiry,B2,12
D017,2026-01-01,Product return,B1,15
D017,2026-01-01,Product return,B2,16
D017,2026-01-01,Warranty claim,B1,14
D017,2026-01-01,Warranty claim,B2,21
D017,2026-01-01,Account access,B1,24
D017,2026-01-01,Account access,B2,1
D017,2026-01-01,Technical support,B1,17
D017,2026-01-01,Technical support,B2,20
D017,2026-02-01,Delivery enquiry,B1,14
D017,2026-02-01,Delivery enquiry,B2,15
D017,2026-02-01,Product return,B1,20
D017,2026-02-01,Product return,B2,1
D017,2026-02-01,Warranty claim,B1,2
D017,2026-02-01,Warranty claim,B2,5
D017,2026-02-01,Account access,B1,12
D017,2026-02-01,Account access,B2,3
D017,2026-02-01,Technical support,B1,6
D017,2026-02-01,Technical support,B2,14
D017,2026-03-01,Delivery enquiry,B1,16
D017,2026-03-01,Delivery enquiry,B2,5
D017,2026-03-01,Product return,B1,15
D017,2026-03-01,Product return,B2,1
D017,2026-03-01,Warranty claim,B1,10
D017,2026-03-01,Warranty claim,B2,2
D017,2026-03-01,Account access,B1,9
D017,2026-03-01,Account access,B2,15
D017,2026-03-01,Technical support,B1,15
D017,2026-03-01,Technical support,B2,22
D018,2026-01-01,Delivery enquiry,B1,24
D018,2026-01-01,Delivery enquiry,B2,16
D018,2026-01-01,Product return,B1,2
D018,2026-01-01,Product return,B2,7
D018,2026-01-01,Warranty claim,B1,5
D018,2026-01-01,Warranty claim,B2,1
D018,2026-01-01,Account access,B1,4
D018,2026-01-01,Account access,B2,4
D018,2026-01-01,Technical support,B1,10
D018,2026-01-01,Technical support,B2,3
D018,2026-02-01,Delivery enquiry,B1,21
D018,2026-02-01,Delivery enquiry,B2,22
D018,2026-02-01,Product return,B1,12
D018,2026-02-01,Product return,B2,17
D018,2026-02-01,Warranty claim,B1,12
D018,2026-02-01,Warranty claim,B2,4
D018,2026-02-01,Account access,B1,18
D018,2026-02-01,Account access,B2,11
D018,2026-02-01,Technical support,B1,11
D018,2026-02-01,Technical support,B2,18
D018,2026-03-01,Delivery enquiry,B1,16
D018,2026-03-01,Delivery enquiry,B2,20
D018,2026-03-01,Product return,B1,15
D018,2026-03-01,Product return,B2,13
D018,2026-03-01,Warranty claim,B1,9
D018,2026-03-01,Warranty claim,B2,1
D018,2026-03-01,Account access,B1,19
D018,2026-03-01,Account access,B2,22
D018,2026-03-01,Technical support,B1,8
D018,2026-03-01,Technical support,B2,16
D019,2026-01-01,Delivery enquiry,B1,12
D019,2026-01-01,Delivery enquiry,B2,16
D019,2026-01-01,Product return,B1,8
D019,2026-01-01,Product return,B2,15
D019,2026-01-01,Warranty claim,B1,3
D019,2026-01-01,Warranty claim,B2,21
D019,2026-01-01,Account access,B1,5
D019,2026-01-01,Account access,B2,11
D019,2026-01-01,Technical support,B1,19
D019,2026-01-01,Technical support,B2,16
D019,2026-02-01,Delivery enquiry,B1,21
D019,2026-02-01,Delivery enquiry,B2,24
D019,2026-02-01,Product return,B1,22
D019,2026-02-01,Product return,B2,15
D019,2026-02-01,Warranty claim,B1,10
D019,2026-02-01,Warranty claim,B2,22
D019,2026-02-01,Account access,B1,22
D019,2026-02-01,Account access,B2,23
D019,2026-02-01,Technical support,B1,9
D019,2026-02-01,Technical support,B2,23
D019,2026-03-01,Delivery enquiry,B1,7
D019,2026-03-01,Delivery enquiry,B2,13
D019,2026-03-01,Product return,B1,15
D019,2026-03-01,Product return,B2,16
D019,2026-03-01,Warranty claim,B1,24
D019,2026-03-01,Warranty claim,B2,13
D019,2026-03-01,Account access,B1,7
D019,2026-03-01,Account access,B2,7
D019,2026-03-01,Technical support,B1,12
D019,2026-03-01,Technical support,B2,16
D020,2026-01-01,Delivery enquiry,B1,9
D020,2026-01-01,Delivery enquiry,B2,18
D020,2026-01-01,Product return,B1,18
D020,2026-01-01,Product return,B2,8
D020,2026-01-01,Warranty claim,B1,21
D020,2026-01-01,Warranty claim,B2,16
D020,2026-01-01,Account access,B1,5
D020,2026-01-01,Account access,B2,2
D020,2026-01-01,Technical support,B1,17
D020,2026-01-01,Technical support,B2,3
D020,2026-02-01,Delivery enquiry,B1,5
D020,2026-02-01,Delivery enquiry,B2,22
D020,2026-02-01,Product return,B1,19
D020,2026-02-01,Product return,B2,21
D020,2026-02-01,Warranty claim,B1,11
D020,2026-02-01,Warranty claim,B2,20
D020,2026-02-01,Account access,B1,22
D020,2026-02-01,Account access,B2,8
D020,2026-02-01,Technical support,B1,23
D020,2026-02-01,Technical support,B2,18
D020,2026-03-01,Delivery enquiry,B1,6
D020,2026-03-01,Delivery enquiry,B2,20
D020,2026-03-01,Product return,B1,15
D020,2026-03-01,Product return,B2,14
D020,2026-03-01,Warranty claim,B1,3
D020,2026-03-01,Warranty claim,B2,24
D020,2026-03-01,Account access,B1,14
D020,2026-03-01,Account access,B2,6
D020,2026-03-01,Technical support,B1,8
D020,2026-03-01,Technical support,B2,21
D021,2026-01-01,Delivery enquiry,B1,21
D021,2026-01-01,Delivery enquiry,B2,23
D021,2026-01-01,Product return,B1,9
D021,2026-01-01,Product return,B2,21
D021,2026-01-01,Warranty claim,B1,15
D021,2026-01-01,Warranty claim,B2,1
D021,2026-01-01,Account access,B1,21
D021,2026-01-01,Account access,B2,1
D021,2026-01-01,Technical support,B1,22
D021,2026-01-01,Technical support,B2,20
D021,2026-02-01,Delivery enquiry,B1,3
D021,2026-02-01,Delivery enquiry,B2,8
D021,2026-02-01,Product return,B1,15
D021,2026-02-01,Product return,B2,23
D021,2026-02-01,Warranty claim,B1,6
D021,2026-02-01,Warranty claim,B2,6
D021,2026-02-01,Account access,B1,2
D021,2026-02-01,Account access,B2,5
D021,2026-02-01,Technical support,B1,17
D021,2026-02-01,Technical support,B2,11
D021,2026-03-01,Delivery enquiry,B1,13
D021,2026-03-01,Delivery enquiry,B2,19
D021,2026-03-01,Product return,B1,1
D021,2026-03-01,Product return,B2,21
D021,2026-03-01,Warranty claim,B1,13
D021,2026-03-01,Warranty claim,B2,9
D021,2026-03-01,Account access,B1,12
D021,2026-03-01,Account access,B2,19
D021,2026-03-01,Technical support,B1,14
D021,2026-03-01,Technical support,B2,6
D022,2026-01-01,Delivery enquiry,B1,6
D022,2026-01-01,Delivery enquiry,B2,3
D022,2026-01-01,Product return,B1,4
D022,2026-01-01,Product return,B2,24
D022,2026-01-01,Warranty claim,B1,5
D022,2026-01-01,Warranty claim,B2,11
D022,2026-01-01,Account access,B1,7
D022,2026-01-01,Account access,B2,17
D022,2026-01-01,Technical support,B1,17
D022,2026-01-01,Technical support,B2,14
D022,2026-02-01,Delivery enquiry,B1,6
D022,2026-02-01,Delivery enquiry,B2,12
D022,2026-02-01,Product return,B1,8
D022,2026-02-01,Product return,B2,3
D022,2026-02-01,Warranty claim,B1,20
D022,2026-02-01,Warranty claim,B2,9
D022,2026-02-01,Account access,B1,1
D022,2026-02-01,Account access,B2,16
D022,2026-02-01,Technical support,B1,2
D022,2026-02-01,Technical support,B2,3
D022,2026-03-01,Delivery enquiry,B1,8
D022,2026-03-01,Delivery enquiry,B2,4
D022,2026-03-01,Product return,B1,17
D022,2026-03-01,Product return,B2,8
D022,2026-03-01,Warranty claim,B1,10
D022,2026-03-01,Warranty claim,B2,13
D022,2026-03-01,Account access,B1,10
D022,2026-03-01,Account access,B2,13
D022,2026-03-01,Technical support,B1,17
D022,2026-03-01,Technical support,B2,19
D023,2026-01-01,Delivery enquiry,B1,23
D023,2026-01-01,Delivery enquiry,B2,15
D023,2026-01-01,Product return,B1,8
D023,2026-01-01,Product return,B2,10
D023,2026-01-01,Warranty claim,B1,7
D023,2026-01-01,Warranty claim,B2,20
D023,2026-01-01,Account access,B1,15
D023,2026-01-01,Account access,B2,8
D023,2026-01-01,Technical support,B1,3
D023,2026-01-01,Technical support,B2,10
