RequestType,RequestID,RequestedDateText,OrganisationEntered,Cost_GBP,DepartmentID,Priority,CompletedDateText
Account access,CH-03-00065,2026-03-21,Fabrikam Logistics 018,121.20,D065,High,2026-03-22
Warranty claim,CH-03-00066,2026-03-29,Contoso Analytcs 025,680.40,D106,High,2026-04-05
Product return,CH-03-00067,2026-03-18,Northwind Services 032,342.30,D109,High,2026-03-28
Product return,CH-03-00068,2026-03-02,Adventure Works Retail 039,689.20,D088,Normal,2026-03-03
Warranty claim,CH-03-00069,2026-03-11,Fabrikam Digital 046,449.60,D107,Normal,2026-03-22
Account access,CH-03-00070,2026-03-08,Contoso Research 053,821.20,D028,High,2026-03-11
Warranty claim,CH-03-00071,2026-03-25,Northwind Logistics 060,768.20,D002,Normal,2026-04-05
Warranty claim,CH-03-00072,2026-03-09,Adventure Works Analytics 067,769.30,D014,Normal,2026-03-15
Warranty claim,CH-03-00073,2026-03-02,Fabrikam Services 074,34.70,D112,High,2026-03-04
Warranty claim,CH-03-00074,2026-03-01,Contoso Retail 081,606.60,D079,High,2026-03-11
Delivery enquiry,CH-03-00075,2026-03-08,Northwind Digital 088,228.50,D084,High,2026-03-13
Product return,CH-03-00076,2026-03-01,Adventure Works Research 095,732.40,D009,High,2026-03-09
Account access,CH-03-00077,2026-03-19,Fabrikam Logistics 102,762.00,D079,High,
Technical support,CH-03-00078,2026-03-31,Contoso Analytics 109,270.20,D044,Normal,2026-04-03
Account access,CH-03-00079,2026-03-21,Northwind Services 116,300.30,D046,High,2026-03-22
Product return,CH-03-00080,2026-03-28,Adventure Works Retail 123,387.80,D036,High,2026-04-06
Warranty claim,CH-03-00081,2026-03-08,Fabrikam Digitl 130,477.60,D060,Normal,2026-03-11
Account access,CH-03-00082,2026-03-04,Contoso Research 137,687.10,D016,Normal,2026-03-13
Technical support,CH-03-00083,2026-03-28,Northwind Logistics 144,103.50,D086,Normal,2026-04-05
Product return,CH-03-00084,2026-03-16,Adventure Works Analytics 151,552.60,D095,High,2026-03-21
Delivery enquiry,CH-03-00085,2026-03-19,Fabrikam Services 158,366.80,D106,Normal,2026-03-21
Warranty claim,CH-03-00086,2026-03-09,Contoso Retial 165,805.00,D015,High,2026-03-14
Product return,CH-03-00087,2026-03-21,Northwind Digital 172,418.80,D018,Normal,2026-03-25
Product return,CH-03-00088,2026-03-16,Adventure Works Research 179,707.30,D091,Normal,2026-03-21
Delivery enquiry,CH-03-00089,2026-03-13,Fabrikam Logistics 186,61.60,D065,Normal,2026-03-16
Delivery enquiry,CH-03-00090,2026-03-08,Contoso Analytics 193,15.20,D015,Normal,2026-03-13
Warranty claim,CH-03-00091,2026-03-02,Northwind Srvcs 200,291.70,D095,Normal,2026-03-10
Account access,CH-03-00092,2026-03-24,Adventure Works Retail 207,168.00,D100,High,2026-03-29
Technical support,CH-03-00093,2026-03-28,Fabrikam Digital 214,711.50,D110,High,2026-03-31
Account access,CH-03-00094,2026-03-23,Unregistered Partner 01,715.10,D075,Normal,2026-04-03
Technical support,CH-03-00095,2026-03-03,Adventure Works UK,389.70,D061,High,2026-03-07
Warranty claim,CH-03-00096,2026-03-03,Adventure Works Retial 015,182.20,D056,High,
Technical support,CH-03-00097,2026-03-27,Fabrikam Digital 022,641.60,D005,High,2026-03-31
Warranty claim,CH-03-00098,2026-03-18,Contoso Research 029,351.00,D060,Normal,2026-03-30
Technical support,CH-03-00099,2026-03-08,Northwind Logistics 036,539.10,D025,High,2026-03-19
Warranty claim,CH-03-00100,2026-03-14,Adventure Works Analytics 043,632.90,D025,High,2026-03-24
Warranty claim,CH-03-00101,2026-03-27,Fabrikam Srvcs 050,314.10,D049,Normal,2026-04-05
Delivery enquiry,CH-03-00102,2026-03-11,Contoso Retail 057,774.00,D006,Normal,2026-03-13
Account access,CH-03-00103,2026-03-07,Northwind Digital 064,644.40,D077,Normal,2026-03-13
Product return,CH-03-00104,2026-03-13,Adventure Works Research 071,495.90,D070,High,2026-03-14
Technical support,CH-03-00105,2026-03-13,Fabrikam Logistics 078,46.10,D077,High,2026-03-18
Technical support,CH-03-00106,2026-03-15,Contoso Analytcs 085,347.10,D084,Normal,2026-03-22
Delivery enquiry,CH-03-00107,2026-03-18,Northwind Services 092,162.80,D044,Normal,2026-03-22
Technical support,CH-03-00108,2026-03-15,Adventure Works Retail 099,646.10,D099,Normal,2026-03-23
Product return,CH-03-00109,2026-03-24,Fabrikam Digital 106,690.20,D020,High,2026-04-02
Delivery enquiry,CH-03-00110,2026-03-05,Contoso Research 113,15.00,D109,Normal,2026-03-15
Delivery enquiry,CH-03-00111,2026-03-09,Northwind Logistics 120,537.00,D038,Normal,2026-03-20
Account access,CH-03-00112,2026-03-27,Adventure Works Analytics 127,75.10,D070,Normal,2026-04-01
Delivery enquiry,CH-03-00113,2026-03-05,Fabrikam Services 134,729.60,D022,High,2026-03-08
Warranty claim,CH-03-00114,2026-03-07,Contoso Retail 141,268.90,D072,Normal,2026-03-19
Delivery enquiry,CH-03-00115,2026-03-28,Northwind Digital 148,592.90,D007,High,
Technical support,CH-03-00116,2026-03-29,Adventure Works Research 155,194.50,D062,High,2026-04-05
Account access,CH-03-00117,2026-03-08,Fabrikam Logistics 162,292.10,D016,Normal,2026-03-18
Technical support,CH-03-00118,2026-03-22,Contoso Analytics 169,777.70,D082,Normal,2026-04-03
Product return,CH-03-00119,2026-03-04,Northwind Services 176,715.60,D085,High,2026-03-09
Warranty claim,CH-03-00120,2026-03-02,Adventure Works Retail 183,447.80,D110,Normal,2026-03-12
Product return,CH-03-00121,2026-03-10,Fabrikam Digitl 190,402.30,D086,Normal,2026-03-19
Warranty claim,CH-03-00122,2026-03-25,Contoso Research 197,698.30,D112,Normal,2026-04-04
Delivery enquiry,CH-03-00123,2026-03-11,Northwind Logistics 204,573.70,D009,High,2026-03-16
Delivery enquiry,CH-03-00124,2026-03-15,Adventure Works Analytics 211,197.50,D067,Normal,2026-03-27
Product return,CH-03-00125,2026-03-09,Unregistered Partner 38,814.30,D081,High,2026-03-12
Product return,CH-03-00126,2026-03-22,Contoso Oxford Trdg,650.00,D076,Normal,2026-03-28
Product return,CH-03-00127,2026-03-19,Northwind Logistics 012,463.70,D045,High,2026-03-27
Delivery enquiry,CH-03-00128,2026-03-09,Adventure Works Analytics 019,225.10,D012,High,2026-03-19
Technical support,CH-03-00129,2026-03-20,Fabrikam Services 026,302.90,D084,Normal,2026-04-01
Technical support,CH-03-00130,2026-03-06,Contoso Retail 033,82.90,D003,High,2026-03-15
Technical support,CH-03-00131,2026-03-26,Northwind Digitl 040,363.50,D035,Normal,2026-03-27
Technical support,CH-03-00132,2026-03-15,Adventure Works Research 047,518.60,D007,High,2026-03-17
Product return,CH-03-00133,2026-03-27,Fabrikam Logistics 054,126.10,D080,Normal,2026-04-01
Account access,CH-03-00134,2026-03-22,Contoso Analytics 061,520.60,D075,High,
Product return,CH-03-00135,2026-03-01,Northwind Services 068,551.10,D023,Normal,2026-03-12
Account access,CH-03-00136,2026-03-04,Adventure Works Retial 075,609.70,D107,Normal,2026-03-08
Technical support,CH-03-00137,2026-03-11,Fabrikam Digital 082,394.60,D004,High,2026-03-21
Warranty claim,CH-03-00138,2026-03-19,Contoso Research 089,198.90,D043,High,2026-03-27
Delivery enquiry,CH-03-00139,2026-03-04,Northwind Logistics 096,740.20,D112,High,2026-03-06
Product return,CH-03-00140,2026-03-03,Adventure Works Analytics 103,136.70,D056,Normal,2026-03-15
Delivery enquiry,CH-03-00141,2026-03-14,Fabrikam Srvcs 110,626.00,D057,High,2026-03-25
Warranty claim,CH-03-00142,2026-03-23,Contoso Retail 117,388.50,D063,Normal,2026-03-24
Account access,CH-03-00143,2026-03-05,Northwind Digital 124,820.30,D079,Normal,2026-03-11
Account access,CH-03-00144,2026-03-31,Adventure Works Research 131,682.10,D085,High,2026-04-01
Account access,CH-03-00145,2026-03-11,Fabrikam Logistics 138,621.50,D011,Normal,2026-03-22
Account access,CH-03-00146,2026-03-18,Contoso Analytcs 145,300.70,D033,Normal,2026-03-20
Warranty claim,CH-03-00147,2026-03-25,Northwind Services 152,690.70,D078,High,2026-04-02
Account access,CH-03-00148,2026-03-20,Adventure Works Retail 159,198.80,D103,High,2026-03-30
Product return,CH-03-00149,2026-03-24,Fabrikam Digital 166,458.60,D105,High,2026-03-29
Account access,CH-03-00150,2026-03-13,Contoso Research 173,699.40,D007,High,2026-03-25
Account access,CH-03-00151,2026-03-17,Northwind Logistics 180,226.90,D102,High,2026-03-21
Product return,CH-03-00152,2026-03-06,Adventure Works Analytics 187,626.40,D072,High,2026-03-07
Warranty claim,CH-03-00153,2026-03-13,Fabrikam Services 194,466.80,D017,High,
Technical support,CH-03-00154,2026-03-22,Contoso Retail 201,453.90,D049,High,2026-04-02
Product return,CH-03-00155,2026-03-30,Northwind Digital 208,211.20,D039,High,2026-04-02
Account access,CH-03-00156,2026-03-17,Unregistered Partner 35,83.40,D062,High,2026-03-27
Technical support,CH-03-00157,2026-03-21,University of Cambridge,82.20,D032,High,2026-03-27
Product return,CH-03-00158,2026-03-15,Contoso Retail 009,12.10,D063,High,2026-03-24
Delivery enquiry,CH-03-00159,2026-03-02,Northwind Digital 016,336.10,D019,Normal,2026-03-14
Warranty claim,CH-03-00160,2026-03-15,Adventure Works Research 023,357.40,D095,High,2026-03-22
Product return,CH-03-00161,2026-03-17,Fabrikam Logistics 030,192.60,D099,High,2026-03-26
Technical support,CH-03-00162,2026-03-28,Contoso Analytics 037,652.90,D061,Normal,2026-04-09
Warranty claim,CH-03-00163,2026-03-15,Northwind Services 044,449.70,D071,High,2026-03-20
Product return,CH-03-00164,2026-03-05,Adventure Works Retail 051,708.10,D005,High,2026-03-17
Product return,CH-03-00165,2026-03-09,Fabrikam Digital 058,717.30,D030,High,2026-03-17
Warranty claim,CH-03-00166,2026-03-13,Contoso Research 065,765.40,D034,Normal,2026-03-16
Product return,CH-03-00167,2026-03-28,Northwind Logistics 072,497.40,D083,High,2026-04-04
Technical support,CH-03-00168,2026-03-23,Adventure Works Analytics 079,266.00,D004,Normal,2026-04-02
Warranty claim,CH-03-00169,2026-03-19,Fabrikam Services 086,15.70,D043,High,2026-03-30
Product return,CH-03-00170,2026-03-28,Contoso Retail 093,371.40,D038,Normal,2026-04-01
Product return,CH-03-00171,2026-03-24,Northwind Digitl 100,766.40,D051,High,2026-03-25
Product return,CH-03-00172,2026-03-10,Adventure Works Research 107,70.10,D044,Normal,
Delivery enquiry,CH-03-00173,2026-03-06,Fabrikam Logistics 114,607.30,D036,Normal,2026-03-13
Delivery enquiry,CH-03-00174,2026-03-23,Contoso Analytics 121,124.40,D052,High,2026-04-03
Product return,CH-03-00175,2026-03-30,Northwind Services 128,677.30,D001,Normal,2026-04-08
Account access,CH-03-00176,2026-03-08,Adventure Works Retial 135,120.80,D090,High,2026-03-16
Product return,CH-03-00177,2026-03-24,Fabrikam Digital 142,201.90,D063,Normal,2026-03-30
Technical support,CH-03-00178,2026-03-30,Contoso Research 149,351.80,D030,Normal,2026-04-03
Technical support,CH-03-00179,2026-03-10,Northwind Logistics 156,236.30,D019,Normal,2026-03-21
Delivery enquiry,CH-03-00180,2026-03-30,Adventure Works Analytics 163,691.60,D033,Normal,2026-04-02
Account access,CH-03-00181,2026-03-02,Fabrikam Srvcs 170,259.70,D083,Normal,2026-03-04
Delivery enquiry,CH-03-00182,2026-03-09,Contoso Retail 177,705.90,D067,High,2026-03-10
Account access,CH-03-00183,2026-03-09,Northwind Digital 184,641.60,D024,Normal,2026-03-16
Account access,CH-03-00184,2026-03-27,Adventure Works Research 191,556.10,D001,High,2026-04-04
Delivery enquiry,CH-03-00185,2026-03-12,Fabrikam Logistics 198,666.70,D052,Normal,2026-03-21
Account access,CH-03-00186,2026-03-06,Contoso Analytcs 205,723.20,D006,High,2026-03-10
Technical support,CH-03-00187,2026-03-20,Unregistered Partner 32,805.40,D043,High,2026-03-27
Delivery enquiry,CH-03-00188,2026-03-03,Adventure Works Retail 219,553.50,D104,High,2026-03-07
Warranty claim,CH-03-00189,2026-03-13,Contoso Oxford Traders,667.50,D100,Normal,2026-03-25
Account access,CH-03-00190,2026-03-23,Contoso Analytics 013,585.90,D060,High,2026-04-01
Account access,CH-03-00191,2026-03-20,Northwind Srvcs 020,208.00,D038,Normal,
Product return,CH-03-00192,2026-03-17,Adventure Works Retail 027,218.30,D097,High,2026-03-20
Technical support,CH-03-00193,2026-03-24,Fabrikam Digital 034,630.30,D040,High,2026-03-26
Warranty claim,CH-03-00194,2026-03-09,Contoso Research 041,113.40,D077,High,2026-03-12
Warranty claim,CH-03-00195,2026-03-18,Northwind Logistics 048,510.50,D069,Normal,2026-03-28
Technical support,CH-03-00196,2026-03-18,Adventure Works Analytcs 055,844.20,D092,Normal,2026-03-28
Product return,CH-03-00197,2026-03-22,Fabrikam Services 062,606.20,D082,Normal,2026-04-02
Technical support,CH-03-00198,2026-03-21,Contoso Retail 069,682.20,D079,Normal,2026-04-01
Delivery enquiry,CH-03-00199,2026-03-11,Northwind Digital 076,491.00,D019,Normal,2026-03-17
Technical support,CH-03-00200,2026-03-23,Adventure Works Research 083,131.60,D109,High,2026-03-30
Technical support,CH-03-00201,2026-03-18,Fabrikam Logistics 090,186.50,D023,High,2026-03-28
Product return,CH-03-00202,2026-03-05,Contoso Analytics 097,51.80,D015,High,2026-03-10
Product return,CH-03-00203,2026-03-11,Northwind Services 104,402.90,D060,Normal,2026-03-20
Product return,CH-03-00204,2026-03-30,Adventure Works Retail 111,106.60,D066,High,2026-04-05
Delivery enquiry,CH-03-00205,2026-03-26,Fabrikam Digital 118,793.00,D005,Normal,2026-04-02
Warranty claim,CH-03-00206,2026-03-11,Contoso Research 125,354.30,D096,High,2026-03-17
Technical support,CH-03-00207,2026-03-09,Northwind Logistics 132,497.00,D019,Normal,2026-03-16
Delivery enquiry,CH-03-00208,2026-03-12,Adventure Works Analytics 139,583.40,D031,High,2026-03-16
Account access,CH-03-00209,2026-03-19,Fabrikam Services 146,410.20,D008,High,2026-03-22
Product return,CH-03-00210,2026-03-20,Contoso Retail 153,757.50,D011,High,
Product return,CH-03-00211,2026-03-17,Northwind Digitl 160,579.80,D084,High,2026-03-29
Account access,CH-03-00212,2026-03-11,Adventure Works Research 167,86.80,D093,High,2026-03-14
Warranty claim,CH-03-00213,2026-03-07,Fabrikam Logistics 174,86.20,D095,High,2026-03-16
Warranty claim,CH-03-00214,2026-03-31,Contoso Analytics 181,215.00,D036,High,2026-04-05
Product return,CH-03-00215,2026-03-11,Northwind Services 188,53.90,D064,High,2026-03-16
Warranty claim,CH-03-00216,2026-03-16,Adventure Works Retial 195,728.90,D005,High,2026-03-26
Warranty claim,CH-03-00217,2026-03-11,Fabrikam Digital 202,605.50,D025,Normal,2026-03-20
Technical support,CH-03-00218,2026-03-18,Unregistered Partner 29,622.70,D083,High,2026-03-19
Warranty claim,CH-03-00219,2026-03-09,Northwind Logistics 216,763.20,D073,High,2026-03-20
Product return,CH-03-00220,2026-03-28,Imperial College London,430.80,D112,High,2026-04-09
Warranty claim,CH-03-00221,2026-03-31,Fabrikam Digitl 010,733.00,D032,High,2026-04-03
Product return,CH-03-00222,2026-03-22,Contoso Research 017,250.20,D026,High,2026-04-02
Product return,CH-03-00223,2026-03-14,Northwind Logistics 024,625.80,D109,Normal,2026-03-22
Warranty claim,CH-03-00224,2026-03-09,Adventure Works Analytics 031,707.10,D090,Normal,2026-03-15
Technical support,CH-03-00225,2026-03-24,Fabrikam Services 038,404.10,D057,High,2026-04-01
Technical support,CH-03-00226,2026-03-29,Contoso Retial 045,66.20,D004,High,2026-04-07
Product return,CH-03-00227,2026-03-07,Northwind Digital 052,163.60,D052,Normal,2026-03-16
Technical support,CH-03-00228,2026-03-17,Adventure Works Research 059,682.10,D042,High,2026-03-19
Product return,CH-03-00229,2026-03-15,Fabrikam Logistics 066,67.00,D043,Normal,
Account access,CH-03-00230,2026-03-17,Contoso Analytics 073,169.00,D051,High,2026-03-21
Account access,CH-03-00231,2026-03-03,Northwind Srvcs 080,549.60,D105,High,2026-03-07
Technical support,CH-03-00232,2026-03-28,Adventure Works Retail 087,454.40,D062,Normal,2026-04-08
Technical support,CH-03-00233,2026-03-18,Fabrikam Digital 094,299.50,D051,Normal,2026-03-30
Technical support,CH-03-00234,2026-03-21,Contoso Research 101,557.20,D006,Normal,2026-03-27
Warranty claim,CH-03-00235,2026-03-25,Northwind Logistics 108,330.50,D110,Normal,2026-03-27
Account access,CH-03-00236,2026-03-09,Adventure Works Analytcs 115,155.80,D023,Normal,2026-03-17
Technical support,CH-03-00237,2026-03-09,Fabrikam Services 122,778.60,D045,Normal,2026-03-13
Warranty claim,CH-03-00238,2026-03-06,Contoso Retail 129,519.20,D078,High,2026-03-15
Delivery enquiry,CH-03-00239,2026-03-13,Northwind Digital 136,722.70,D046,High,2026-03-20
Product return,CH-03-00240,2026-03-02,Adventure Works Research 143,629.50,D078,High,2026-03-05
Warranty claim,CH-03-00241,2026-03-15,Fabrikam Logistics 150,144.50,D022,Normal,2026-03-24
Technical support,CH-03-00242,2026-03-04,Contoso Analytics 157,348.30,D002,High,2026-03-15
Technical support,CH-03-00243,2026-03-02,Northwind Services 164,224.30,D082,High,2026-03-08
Product return,CH-03-00244,2026-03-26,Adventure Works Retail 171,452.00,D034,Normal,2026-03-31
Warranty claim,CH-03-00245,2026-03-11,Fabrikam Digital 178,236.80,D048,High,2026-03-22
Product return,CH-03-00246,2026-03-31,Contoso Research 185,715.50,D073,High,2026-04-03
Warranty claim,CH-03-00247,2026-03-24,Northwind Logistics 192,766.00,D002,High,2026-03-30
Warranty claim,CH-03-00248,2026-03-15,Adventure Works Analytics 199,719.30,D059,Normal,
Delivery enquiry,CH-03-00249,2026-03-23,Unregistered Partner 26,385.20,D100,High,2026-04-03
Product return,CH-03-00250,2026-03-25,Contoso Retail 213,303.50,D029,Normal,2026-04-04
Warranty claim,CH-03-00251,2026-03-30,Northwind Digitl 220,842.20,D062,Normal,2026-04-03
Product return,CH-03-00252,2026-03-25,Fabrikam Retail Group,678.00,D091,Normal,2026-04-03
Technical support,CH-03-00253,2026-03-29,Fabrikam Services 014,202.50,D018,Normal,2026-04-01
Delivery enquiry,CH-03-00254,2026-03-27,Contoso Retail 021,796.60,D035,Normal,2026-03-29
Product return,CH-03-00255,2026-03-28,Northwind Digital 028,149.80,D013,Normal,2026-04-09
Product return,CH-03-00256,2026-03-28,Adventure Works Research 035,655.30,D059,Normal,2026-04-03
Account access,CH-03-00257,2026-03-13,Fabrikam Logistics 042,753.60,D103,High,2026-03-20
Technical support,CH-03-00258,2026-03-03,Contoso Analytics 049,812.60,D071,Normal,2026-03-04
Warranty claim,CH-03-00259,2026-03-30,Northwind Services 056,239.70,D102,High,2026-04-04
Delivery enquiry,CH-03-00260,2026-03-12,Adventure Works Retail 063,207.20,D025,Normal,2026-03-14
Delivery enquiry,CH-03-00261,2026-03-14,Fabrikam Digitl 070,490.80,D026,Normal,2026-03-24
Product return,CH-03-00262,2026-03-25,Contoso Research 077,687.90,D038,High,2026-03-26
Delivery enquiry,CH-03-00263,2026-03-22,Northwind Logistics 084,157.40,D089,High,2026-04-03
Technical support,CH-03-00264,2026-03-09,Adventure Works Analytics 091,349.10,D012,Normal,2026-03-17
Product return,CH-03-00265,2026-03-08,Fabrikam Services 098,121.80,D014,Normal,2026-03-18
Delivery enquiry,CH-03-00266,2026-03-12,Contoso Retial 105,363.40,D003,High,2026-03-21
Account access,CH-03-00267,2026-03-25,Northwind Digital 112,334.70,D079,High,
Account access,CH-03-00268,2026-03-10,Adventure Works Research 119,98.50,D103,Normal,2026-03-19
Technical support,CH-03-00269,2026-03-04,Fabrikam Logistics 126,672.80,D067,High,2026-03-11
Delivery enquiry,CH-03-00270,2026-03-21,Contoso Analytics 133,521.10,D090,High,2026-03-31
Warranty claim,CH-03-00271,2026-03-04,Northwind Srvcs 140,737.90,D064,Normal,2026-03-05
Technical support,CH-03-00272,2026-03-05,Adventure Works Retail 147,356.70,D014,High,2026-03-12
Product return,CH-03-00273,2026-03-31,Fabrikam Digital 154,818.80,D036,Normal,2026-04-08
Account access,CH-03-00274,2026-03-14,Contoso Research 161,816.70,D031,High,2026-03-26
Delivery enquiry,CH-03-00275,2026-03-31,Northwind Logistics 168,699.00,D082,Normal,2026-04-07
Delivery enquiry,CH-03-00276,2026-03-02,Adventure Works Analytcs 175,133.30,D020,Normal,2026-03-06
Product return,CH-03-00277,2026-03-13,Fabrikam Services 182,566.40,D037,Normal,2026-03-21
Warranty claim,CH-03-00278,2026-03-27,Contoso Retail 189,343.40,D078,Normal,2026-03-30
Delivery enquiry,CH-03-00279,2026-03-28,Northwind Digital 196,830.70,D051,High,2026-04-08
Technical support,CH-03-00280,2026-03-26,Unregistered Partner 23,329.40,D059,Normal,2026-04-06
Technical support,CH-03-00281,2026-03-25,Fabrikam Logistics 210,456.10,D009,Normal,2026-03-27
Product return,CH-03-00282,2026-03-02,Contoso Analytics 217,160.20,D108,Normal,2026-03-10
Account access,CH-03-00283,2026-03-27,Oxford University Press,235.20,D044,High,2026-04-05
Account access,CH-03-00284,2026-03-31,Adventure Works Research 011,433.50,D048,Normal,2026-04-10
Warranty claim,CH-03-00285,2026-03-20,Fabrikam Logistics 018,661.70,D061,High,2026-03-21
Technical support,CH-03-00286,2026-03-23,Contoso Analytcs 025,138.40,D017,High,
Product return,CH-03-00287,2026-03-07,Northwind Services 032,233.90,D040,Normal,2026-03-15
