OrganisationID,OrganisationName,Sector,Region,AccountManagerEmployeeID
O0160,Northwind Digital 160,Professional Services,South,E0178
O0161,Contoso Research 161,Professional Services,South,E0179
O0162,Fabrikam Logistics 162,Technology,Central,E0180
O0163,Adventure Works Analytics 163,Manufacturing,West,E0181
O0164,Northwind Services 164,Manufacturing,West,E0182
O0165,Contoso Retail 165,Professional Services,East,E0183
O0166,Fabrikam Digital 166,Professional Services,North,E0184
O0167,Adventure Works Research 167,Retail,North,E0185
O0168,Northwind Logistics 168,Professional Services,Central,E0186
O0169,Contoso Analytics 169,Retail,North,E0187
O0170,Fabrikam Services 170,Professional Services,North,E0188
O0171,Adventure Works Retail 171,Technology,East,E0189
O0172,Northwind Digital 172,Technology,South,E0190
O0173,Contoso Research 173,Retail,Central,E0191
O0174,Fabrikam Logistics 174,Manufacturing,West,E0192
O0175,Adventure Works Analytics 175,Professional Services,South,E0193
O0176,Northwind Services 176,Technology,West,E0194
O0177,Contoso Retail 177,Manufacturing,North,E0195
O0178,Fabrikam Digital 178,Technology,West,E0196
O0179,Adventure Works Research 179,Manufacturing,South,E0197
O0180,Northwind Logistics 180,Technology,North,E0198
O0181,Contoso Analytics 181,Manufacturing,North,E0199
O0182,Fabrikam Services 182,Professional Services,West,E0200
O0183,Adventure Works Retail 183,Manufacturing,South,E0201
O0184,Northwind Digital 184,Manufacturing,Central,E0202
O0185,Contoso Research 185,Manufacturing,East,E0203
O0186,Fabrikam Logistics 186,Professional Services,Central,E0204
O0187,Adventure Works Analytics 187,Professional Services,Central,E0205
O0188,Northwind Services 188,Professional Services,West,E0206
O0189,Contoso Retail 189,Technology,Central,E0207
O0190,Fabrikam Digital 190,Professional Services,North,E0208
O0191,Adventure Works Research 191,Retail,North,E0209
O0192,Northwind Logistics 192,Manufacturing,Central,E0210
O0193,Contoso Analytics 193,Manufacturing,Central,E0211
O0194,Fabrikam Services 194,Technology,East,E0212
O0195,Adventure Works Retail 195,Retail,North,E0213
O0196,Northwind Digital 196,Retail,North,E0214
O0197,Contoso Research 197,Manufacturing,North,E0215
O0198,Fabrikam Logistics 198,Technology,Central,E0216
O0199,Adventure Works Analytics 199,Manufacturing,South,E0217
O0200,Northwind Services 200,Professional Services,West,E0218
O0201,Contoso Retail 201,Professional Services,South,E0219
O0202,Fabrikam Digital 202,Retail,North,E0220
O0203,Adventure Works Research 203,Professional Services,Central,E0221
O0204,Northwind Logistics 204,Retail,North,E0222
O0205,Contoso Analytics 205,Manufacturing,Central,E0223
O0206,Fabrikam Services 206,Professional Services,East,E0224
O0207,Adventure Works Retail 207,Manufacturing,West,E0225
O0208,Northwind Digital 208,Professional Services,North,E0226
O0209,Contoso Research 209,Manufacturing,East,E0227
O0210,Fabrikam Logistics 210,Technology,West,E0228
O0211,Adventure Works Analytics 211,Retail,West,E0229
O0212,Northwind Services 212,Manufacturing,West,E0230
O0213,Contoso Retail 213,Retail,South,E0231
O0214,Fabrikam Digital 214,Professional Services,Central,E0232
O0215,Adventure Works Research 215,Retail,South,E0233
O0216,Northwind Logistics 216,Retail,Central,E0234
O0217,Contoso Analytics 217,Manufacturing,West,E0235
O0218,Fabrikam Services 218,Manufacturing,Central,E0236
O0219,Adventure Works Retail 219,Retail,West,E0237
O0220,Northwind Digital 220,Professional Services,Central,E0238
