ProductID,OrderLineID,Region,Order Date,Quantity,CustomerID,OrderID,DepartmentID,Unit Price GBP,DiscountPct,PromoCode,ShippedDateText
P0322,SL-03-00022,West,2026-03-10,1,C00226,SO-03-00011,D049,296.24,0.10,,2026-03-15
P0192,SL-03-00023,East,2026-03-06,2,C00019,SO-03-00012,D015,167.74,0,,
P0196,SL-03-00024,North,2026-03-23,1,C00652,SO-03-00012,D073,212.74,0.15,,2026-03-26
P0295,SL-03-00025,South,2026-03-05,3,C01064,SO-03-00013,D044,325.99,0,SPRING26,2026-03-08
P0359,SL-03-00026,South,2026-03-15,3,C00288,SO-03-00013,D030,378.99,0.05,,2026-03-20
P0161,SL-03-00027,South,2026-03-28,2,C00451,SO-03-00014,D029,152.49,0.15,,2026-04-01
P0348,SL-03-00028,South,2026-03-09,4,C00253,SO-03-00014,D020,255.24,0.05,,2026-03-15
P0073,SL-03-00029,South,2026-03-24,4,C00348,SO-03-00015,D024,162.99,0.05,,2026-03-25
P0083,SL-03-00030,East,2026-03-14,1,C00173,SO-03-00015,D100,275.49,0.05,,2026-03-17
P0054,SL-03-00031,South,2026-03-19,3,C00755,SO-03-00016,D001,282.74,0.05,,2026-03-26
P0235,SL-03-00032,South,2026-03-15,2,C01362,SO-03-00016,D025,317.99,0.15,,2026-03-17
P0066,SL-03-00033,South,2026-03-01,4,C00042,SO-03-00017,D068,84.24,0.10,SPRING26,2026-03-07
P0010,SL-03-00034,Central,2026-03-29,3,C00677,SO-03-00017,D038,121.24,0.10,,2026-04-03
P0134,SL-03-00035,South,2026-03-01,3,C00480,SO-03-00018,D009,182.24,0.10,,2026-03-04
P0147,SL-03-00036,East,2026-03-26,3,C00270,SO-03-00018,D040,328.49,0.10,,2026-04-02
P0177,SL-03-00037,Central,2026-03-01,2,C00329,SO-03-00019,D089,332.49,0,,2026-03-07
P0054,SL-03-00038,West,2026-03-01,1,C00006,SO-03-00019,D001,282.74,0.10,,2026-03-08
P0243,SL-03-00039,South,2026-03-26,3,C00714,SO-03-00020,D028,74.49,0.15,,2026-03-28
P0312,SL-03-00040,West,2026-03-03,3,C00811,SO-03-00020,D067,183.74,0,,2026-03-10
P0013,SL-03-00041,West,2026-03-26,1,C00989,SO-03-00021,D039,154.99,0,SPRING26,2026-03-30
P0132,SL-03-00042,South,2026-03-22,4,C00815,SO-03-00021,D007,159.74,0.15,,2026-03-30
P0150,SL-03-00043,South,2026-03-14,3,C00755,SO-03-00022,D076,362.24,0.10,,2026-03-16
P0002,SL-03-00044,North,2026-03-17,2,C00324,SO-03-00022,D017,31.24,0.10,,2026-03-18
P0004,SL-03-00045,East,2026-03-23,3,C00864,SO-03-00023,D087,53.74,0.10,,
P0012,SL-03-00046,Central,2026-03-22,4,C00275,SO-03-00023,D106,143.74,0.10,,2026-03-24
P0003,SL-03-00047,North,2026-03-04,2,C00412,SO-03-00024,D039,42.49,0,,2026-03-05
P0074,SL-03-00048,Central,2026-03-09,1,C00609,SO-03-00024,D093,174.24,0.05,,2026-03-15
P0121,SL-03-00049,Central,2026-03-31,5,C00351,SO-03-00025,D029,35.99,0.10,SPRING26,2026-04-07
P0079,SL-03-00050,East,2026-03-30,1,C00592,SO-03-00025,D024,230.49,0,,2026-04-04
P0048,SL-03-00051,Central,2026-03-06,5,C00673,SO-03-00026,D097,215.24,0.05,,2026-03-10
P0171,SL-03-00052,West,2026-03-15,4,C00817,SO-03-00026,D003,264.99,0.15,,2026-03-22
P0196,SL-03-00053,Central,2026-03-26,4,C00285,SO-03-00027,D007,212.74,0,,2026-04-02
P0299,SL-03-00054,East,2026-03-01,1,C00903,SO-03-00027,D053,370.99,0.05,,2026-03-02
P0342,SL-03-00055,South,2026-03-05,3,C00793,SO-03-00028,D085,187.74,0.15,,2026-03-08
P0055,SL-03-00056,Central,2026-03-24,1,C00189,SO-03-00028,D107,293.99,0.10,,2026-03-27
P0258,SL-03-00057,South,2026-03-27,4,C00912,SO-03-00029,D088,243.24,0.10,SPRING26,2026-04-03
P0292,SL-03-00058,West,2026-03-24,5,C00271,SO-03-00029,D074,292.24,0.15,,2026-03-29
P0226,SL-03-00059,North,2026-03-05,2,C01019,SO-03-00030,D101,216.74,0.05,,2026-03-07
P0350,SL-03-00060,North,2026-03-10,3,C00461,SO-03-00030,D087,277.74,0,,2026-03-12
P0067,SL-03-00061,North,2026-03-20,2,C00050,SO-03-00031,D105,95.49,0.10,,2026-03-28
P0091,SL-03-00062,West,2026-03-05,4,C00712,SO-03-00031,D022,31.99,0.05,,2026-03-06
P0348,SL-03-00063,West,2026-03-08,1,C01353,SO-03-00032,D054,255.24,0.15,,2026-03-14
P0148,SL-03-00064,South,2026-03-14,3,C00475,SO-03-00032,D105,339.74,0.15,,2026-03-17
P0201,SL-03-00065,North,2026-03-31,2,C00387,SO-03-00033,D068,268.99,0,SPRING26,2026-04-06
P0341,SL-03-00066,Central,2026-03-31,2,C00236,SO-03-00033,D017,176.49,0,,2026-04-03
P0330,SL-03-00067,South,2026-03-04,1,C00804,SO-03-00034,D021,386.24,0.15,,
P0336,SL-03-00068,Central,2026-03-22,4,C00142,SO-03-00034,D085,120.24,0.15,,2026-03-26
P0034,SL-03-00069,East,2026-03-13,5,C00220,SO-03-00035,D030,57.74,0.15,,2026-03-15
P0228,SL-03-00070,Central,2026-03-06,1,C00932,SO-03-00035,D044,239.24,0,,2026-03-11
P0228,SL-03-00071,West,2026-03-11,1,C00600,SO-03-00036,D077,239.24,0,,2026-03-14
P0329,SL-03-00072,West,2026-03-01,2,C00433,SO-03-00036,D088,374.99,0,,2026-03-08
P0170,SL-03-00073,West,2026-03-03,4,C00654,SO-03-00037,D042,253.74,0.15,SPRING26,2026-03-04
P0152,SL-03-00074,Central,2026-03-09,5,C00152,SO-03-00037,D110,51.24,0.15,,2026-03-16
P0077,SL-03-00075,East,2026-03-15,2,C01098,SO-03-00038,D005,207.99,0.05,,2026-03-20
P0190,SL-03-00076,Central,2026-03-12,2,C00479,SO-03-00038,D032,145.24,0,,2026-03-16
P0350,SL-03-00077,West,2026-03-27,4,C00501,SO-03-00039,D085,277.74,0.10,,2026-04-02
P0230,SL-03-00078,South,2026-03-15,4,C01073,SO-03-00039,D098,261.74,0,,2026-03-18
P0130,SL-03-00079,Central,2026-03-16,1,C00243,SO-03-00040,D102,137.24,0,,2026-03-22
P0293,SL-03-00080,South,2026-03-02,1,C00574,SO-03-00040,D004,303.49,0.15,,2026-03-05
P0224,SL-03-00081,North,2026-03-05,1,C00836,SO-03-00041,D085,194.24,0.10,SPRING26,2026-03-11
P0003,SL-03-00082,South,2026-03-01,3,C00412,SO-03-00041,D112,42.49,0.15,,2026-03-04
P0304,SL-03-00083,East,2026-03-18,3,C00215,SO-03-00042,D010,93.74,0.05,,2026-03-22
P0134,SL-03-00084,West,2026-03-04,3,C00577,SO-03-00042,D029,182.24,0.15,,2026-03-05
P0276,SL-03-00085,East,2026-03-19,1,C01086,SO-03-00043,D038,112.24,0.10,,2026-03-21
P0276,SL-03-00086,West,2026-03-30,5,C00225,SO-03-00043,D078,112.24,0.15,,2026-04-05
P0128,SL-03-00087,Central,2026-03-13,3,C00220,SO-03-00044,D099,114.74,0.15,,2026-03-14
P0255,SL-03-00088,North,2026-03-19,2,C00686,SO-03-00044,D105,209.49,0.10,,2026-03-27
P0024,SL-03-00089,South,2026-03-04,1,C00988,SO-03-00045,D067,278.74,0.15,SPRING26,
P0005,SL-03-00090,North,2026-03-05,1,C01085,SO-03-00045,D104,64.99,0.15,,2026-03-08
P0054,SL-03-00091,East,2026-03-21,5,C00234,SO-03-00046,D058,282.74,0.05,,2026-03-25
P0317,SL-03-00092,East,2026-03-21,3,C00985,SO-03-00046,D079,239.99,0.15,,2026-03-25
P0337,SL-03-00093,East,2026-03-02,3,C00132,SO-03-00047,D060,131.49,0.10,,2026-03-03
P0158,SL-03-00094,East,2026-03-02,3,C01364,SO-03-00047,D001,118.74,0.15,,2026-03-07
P0168,SL-03-00095,South,2026-03-28,1,C00015,SO-03-00048,D010,231.24,0.10,,2026-04-01
P0102,SL-03-00096,South,2026-03-06,3,C00894,SO-03-00048,D078,155.74,0.05,,2026-03-12
P0169,SL-03-00097,West,2026-03-29,2,C00729,SO-03-00049,D075,242.49,0.05,SPRING26,2026-03-31
P0136,SL-03-00098,West,2026-03-25,5,C00098,SO-03-00049,D039,204.74,0,,2026-04-02
P0060,SL-03-00099,Central,2026-03-23,1,C00320,SO-03-00050,D102,350.24,0.10,,2026-03-31
P0107,SL-03-00100,Central,2026-03-16,1,C00538,SO-03-00050,D049,211.99,0.05,,2026-03-24
P0278,SL-03-00101,North,2026-03-02,3,C00455,SO-03-00051,D004,134.74,0,,2026-03-08
P0338,SL-03-00102,West,2026-03-07,4,C00584,SO-03-00051,D088,142.74,0.10,,2026-03-10
P0112,SL-03-00103,West,2026-03-11,2,C00679,SO-03-00052,D011,268.24,0,,2026-03-17
P0311,SL-03-00104,West,2026-03-01,3,C00097,SO-03-00052,D052,172.49,0.15,,2026-03-05
P0132,SL-03-00105,North,2026-03-09,1,C00216,SO-03-00053,D103,159.74,0,SPRING26,2026-03-13
P0013,SL-03-00106,South,2026-03-23,2,C01068,SO-03-00053,D075,154.99,0,,2026-03-27
P0256,SL-03-00107,North,2026-03-30,3,C00263,SO-03-00054,D014,220.74,0,,2026-04-03
P0286,SL-03-00108,West,2026-03-13,3,C00068,SO-03-00054,D047,224.74,0.05,,2026-03-19
P0157,SL-03-00109,Central,2026-03-22,1,C00456,SO-03-00055,D080,107.49,0.05,,2026-03-26
P0194,SL-03-00110,Central,2026-03-26,2,C00407,SO-03-00055,D111,190.24,0.05,,2026-04-03
P0167,SL-03-00111,South,2026-03-21,4,C00148,SO-03-00056,D013,219.99,0.10,,
P0226,SL-03-00112,Central,2026-03-27,1,C00751,SO-03-00056,D083,216.74,0.10,,2026-03-31
P0227,SL-03-00113,South,2026-03-05,5,C01057,SO-03-00057,D050,227.99,0.15,SPRING26,2026-03-11
P0342,SL-03-00114,North,2026-03-02,5,C00507,SO-03-00057,D062,187.74,0.05,,2026-03-05
P0280,SL-03-00115,South,2026-03-27,4,C00295,SO-03-00058,D062,157.24,0.05,,2026-04-02
P0134,SL-03-00116,North,2026-03-09,4,C00585,SO-03-00058,D074,182.24,0,,2026-03-12
P0323,SL-03-00117,Central,2026-03-27,2,C00075,SO-03-00059,D079,307.49,0.10,,2026-03-29
P0090,SL-03-00118,North,2026-03-25,1,C01044,SO-03-00059,D006,354.24,0.05,,2026-03-31
P0061,SL-03-00119,East,2026-03-23,3,C00583,SO-03-00060,D083,27.99,0.05,,2026-03-25
P0023,SL-03-00120,West,2026-03-24,5,C00261,SO-03-00060,D016,267.49,0.10,,2026-03-29
P0187,SL-03-00121,North,2026-03-01,5,C00498,SO-03-00061,D063,111.49,0.15,SPRING26,2026-03-08
P0289,SL-03-00122,West,2026-03-03,3,C00484,SO-03-00061,D028,258.49,0,,2026-03-06
P0194,SL-03-00123,East,2026-03-04,3,C01097,SO-03-00062,D112,190.24,0,,2026-03-10
P0106,SL-03-00124,North,2026-03-20,1,C00897,SO-03-00062,D075,200.74,0.10,,2026-03-27
P0248,SL-03-00125,Central,2026-03-06,1,C01355,SO-03-00063,D108,130.74,0,,2026-03-09
P0113,SL-03-00126,North,2026-03-28,3,C00539,SO-03-00063,D100,279.49,0.15,,2026-03-29
P0128,SL-03-00127,West,2026-03-30,5,C00135,SO-03-00064,D103,114.74,0.05,,2026-04-02
P0054,SL-03-00128,Central,2026-03-16,1,C00204,SO-03-00064,D103,282.74,0.10,,2026-03-22
P0320,SL-03-00129,Central,2026-03-22,3,C00785,SO-03-00065,D112,273.74,0.15,SPRING26,2026-03-26
P0123,SL-03-00130,East,2026-03-02,4,C00850,SO-03-00065,D005,58.49,0.05,,2026-03-09
P0116,SL-03-00131,Central,2026-03-05,1,C00282,SO-03-00066,D005,313.24,0,,2026-03-09
P0220,SL-03-00132,North,2026-03-01,1,C00444,SO-03-00066,D082,149.24,0,,2026-03-02
P0180,SL-03-00133,South,2026-03-15,1,C00549,SO-03-00067,D093,366.24,0,,
P0279,SL-03-00134,East,2026-03-13,1,C00828,SO-03-00067,D075,145.99,0.10,,2026-03-19
P0041,SL-03-00135,South,2026-03-04,5,C00153,SO-03-00068,D087,136.49,0.10,,2026-03-12
P0161,SL-03-00136,South,2026-03-29,5,C00281,SO-03-00068,D104,152.49,0.15,,2026-04-05
P0128,SL-03-00137,South,2026-03-21,4,C00448,SO-03-00069,D003,114.74,0,SPRING26,2026-03-24
P0246,SL-03-00138,East,2026-03-24,4,C00660,SO-03-00069,D077,108.24,0.05,,2026-03-29
P0081,SL-03-00139,North,2026-03-01,3,C00178,SO-03-00070,D040,252.99,0.15,,2026-03-04
P0057,SL-03-00140,Central,2026-03-02,3,C00721,SO-03-00070,D090,316.49,0,,2026-03-05
P0318,SL-03-00141,North,2026-03-05,3,C00440,SO-03-00071,D075,251.24,0.10,,2026-03-09
P0084,SL-03-00142,East,2026-03-16,3,C00980,SO-03-00071,D096,286.74,0.10,,2026-03-20
P0337,SL-03-00143,East,2026-03-12,5,C00722,SO-03-00072,D020,131.49,0.10,,2026-03-15
P0326,SL-03-00144,South,2026-03-28,4,C00820,SO-03-00072,D080,341.24,0.10,,2026-04-03
P0067,SL-03-00145,South,2026-03-03,5,C00022,SO-03-00073,D092,95.49,0,SPRING26,2026-03-11
P0237,SL-03-00146,North,2026-03-15,3,C00851,SO-03-00073,D079,340.49,0.15,,2026-03-23
P0230,SL-03-00147,North,2026-03-10,2,C00748,SO-03-00074,D107,261.74,0.15,,2026-03-15
P0303,SL-03-00148,North,2026-03-11,5,C01004,SO-03-00074,D002,82.49,0.10,,2026-03-17
P0151,SL-03-00149,Central,2026-03-05,4,C00791,SO-03-00075,D035,39.99,0.15,,2026-03-10
P0167,SL-03-00150,Central,2026-03-20,2,C00511,SO-03-00075,D109,219.99,0.10,,2026-03-26
P0315,SL-03-00151,East,2026-03-18,2,C00831,SO-03-00076,D051,217.49,0.05,,2026-03-21
P0262,SL-03-00152,Central,2026-03-26,1,C00536,SO-03-00076,D084,288.24,0.05,,2026-04-03
P0111,SL-03-00153,East,2026-03-11,1,C00551,SO-03-00077,D060,256.99,0,SPRING26,2026-03-13
P0139,SL-03-00154,North,2026-03-14,4,C00240,SO-03-00077,D051,238.49,0.15,,2026-03-15
P0013,SL-03-00155,East,2026-03-10,2,C00048,SO-03-00078,D041,154.99,0.10,,
P0060,SL-03-00156,North,2026-03-16,1,C01366,SO-03-00078,D092,350.24,0.10,,2026-03-20
P0307,SL-03-00157,West,2026-03-05,1,C00802,SO-03-00079,D003,127.49,0.10,,2026-03-06
P0354,SL-03-00158,South,2026-03-20,2,C00476,SO-03-00079,D008,322.74,0.15,,2026-03-28
P0007,SL-03-00159,East,2026-03-25,3,C00193,SO-03-00080,D084,87.49,0,,2026-04-02
P0073,SL-03-00160,Central,2026-03-16,5,C00538,SO-03-00080,D058,162.99,0.10,,2026-03-21
P0193,SL-03-00161,West,2026-03-12,4,C00932,SO-03-00081,D002,178.99,0.15,SPRING26,2026-03-17
P0293,SL-03-00162,South,2026-03-30,4,C00046,SO-03-00081,D034,303.49,0,,2026-04-04
P0040,SL-03-00163,East,2026-03-18,3,C01021,SO-03-00082,D014,125.24,0,,2026-03-20
P0197,SL-03-00164,East,2026-03-18,5,C00613,SO-03-00082,D074,223.99,0.10,,2026-03-25
P0176,SL-03-00165,West,2026-03-24,4,C00046,SO-03-00083,D088,321.24,0.05,,2026-03-27
P0034,SL-03-00166,East,2026-03-01,2,C00558,SO-03-00083,D107,57.74,0.05,,2026-03-05
P0251,SL-03-00167,West,2026-03-26,5,C00595,SO-03-00084,D051,164.49,0.15,,2026-04-03
P0053,SL-03-00168,East,2026-03-22,2,C00632,SO-03-00084,D087,271.49,0.10,,2026-03-29
P0018,SL-03-00169,East,2026-03-22,2,C00168,SO-03-00085,D072,211.24,0.10,SPRING26,2026-03-24
P0226,SL-03-00170,East,2026-03-26,3,C00666,SO-03-00085,D090,216.74,0.05,,2026-03-27
P0045,SL-03-00171,South,2026-03-10,1,C00534,SO-03-00086,D011,181.49,0.10,,2026-03-18
P0061,SL-03-00172,East,2026-03-25,3,C00354,SO-03-00086,D077,27.99,0.10,,2026-03-26
P0019,SL-03-00173,North,2026-03-23,3,C00884,SO-03-00087,D099,222.49,0.10,,2026-03-30
P0360,SL-03-00174,Central,2026-03-12,3,C00847,SO-03-00087,D110,390.24,0.15,,2026-03-19
P0159,SL-03-00175,North,2026-03-21,2,C01045,SO-03-00088,D065,129.99,0.05,,2026-03-26
P0278,SL-03-00176,Central,2026-03-21,4,C01029,SO-03-00088,D017,134.74,0.05,,2026-03-27
P0129,SL-03-00177,North,2026-03-11,4,C00322,SO-03-00089,D057,125.99,0.05,SPRING26,
P0156,SL-03-00178,West,2026-03-08,2,C00211,SO-03-00089,D082,96.24,0.10,,2026-03-13
P0093,SL-03-00179,North,2026-03-03,5,C00906,SO-03-00090,D073,54.49,0.05,,2026-03-07
P0276,SL-03-00180,East,2026-03-06,1,C00880,SO-03-00090,D094,112.24,0.05,,2026-03-11
P0117,SL-03-00181,North,2026-03-09,4,C00420,SO-03-00091,D088,324.49,0.15,,2026-03-17
P0332,SL-03-00182,Central,2026-03-09,4,C00590,SO-03-00091,D001,75.24,0.15,,2026-03-12
P0182,SL-03-00183,North,2026-03-01,1,C00656,SO-03-00092,D087,55.24,0.15,,2026-03-05
P0005,SL-03-00184,East,2026-03-24,5,C00486,SO-03-00092,D002,64.99,0.10,,2026-03-30
P0066,SL-03-00185,East,2026-03-13,1,C00084,SO-03-00093,D018,84.24,0,SPRING26,2026-03-20
P0345,SL-03-00186,South,2026-03-18,5,C00997,SO-03-00093,D074,221.49,0.15,,2026-03-24
P0260,SL-03-00187,West,2026-03-15,2,C01357,SO-03-00094,D028,265.74,0.15,,2026-03-17
P0305,SL-03-00188,East,2026-03-19,5,C00242,SO-03-00094,D049,104.99,0.10,,2026-03-26
P0237,SL-03-00189,Central,2026-03-22,1,C00812,SO-03-00095,D034,340.49,0.10,,2026-03-24
P0302,SL-03-00190,South,2026-03-26,4,C00776,SO-03-00095,D013,71.24,0.10,,2026-04-03
P0228,SL-03-00191,East,2026-03-30,5,C00123,SO-03-00096,D064,239.24,0.05,,2026-04-03
P0223,SL-03-00192,Central,2026-03-01,5,C00708,SO-03-00096,D102,182.99,0.05,,2026-03-07
P0137,SL-03-00193,South,2026-03-07,3,C00317,SO-03-00097,D052,215.99,0,SPRING26,2026-03-09
P0266,SL-03-00194,North,2026-03-19,1,C00632,SO-03-00097,D015,333.24,0.10,,2026-03-26
P0052,SL-03-00195,North,2026-03-06,2,C00563,SO-03-00098,D008,260.24,0,,2026-03-07
P0043,SL-03-00196,West,2026-03-09,3,C00118,SO-03-00098,D080,158.99,0.10,,2026-03-10
P0300,SL-03-00197,West,2026-03-02,1,C00226,SO-03-00099,D009,382.24,0,,2026-03-07
P0188,SL-03-00198,North,2026-03-02,1,C00491,SO-03-00099,D057,122.74,0.15,,2026-03-06
P0109,SL-03-00199,West,2026-03-13,2,C00432,SO-03-00100,D015,234.49,0.10,,
P0201,SL-03-00200,Central,2026-03-12,5,C00117,SO-03-00100,D092,268.99,0.15,,2026-03-19
P0056,SL-03-00201,North,2026-03-14,3,C00359,SO-03-00101,D033,305.24,0.05,SPRING26,2026-03-18
P0297,SL-03-00202,North,2026-03-20,2,C00196,SO-03-00101,D005,348.49,0.10,,2026-03-22
P0124,SL-03-00203,East,2026-03-28,3,C00795,SO-03-00102,D069,69.74,0.15,,2026-04-05
P0348,SL-03-00204,South,2026-03-28,4,C00184,SO-03-00102,D039,255.24,0.10,,2026-04-03
P0280,SL-03-00205,South,2026-03-18,5,C00307,SO-03-00103,D089,157.24,0.10,,2026-03-26
P0081,SL-03-00206,South,2026-03-03,5,C00621,SO-03-00103,D051,252.99,0,,2026-03-07
P0338,SL-03-00207,West,2026-03-09,5,C01094,SO-03-00104,D095,142.74,0.10,,2026-03-13
P0342,SL-03-00208,East,2026-03-04,5,C00864,SO-03-00104,D006,187.74,0,,2026-03-10
P0063,SL-03-00209,Central,2026-03-27,1,C00650,SO-03-00105,D004,50.49,0.10,SPRING26,2026-03-30
P0334,SL-03-00210,Central,2026-03-04,3,C00043,SO-03-00105,D020,97.74,0,,2026-03-08
P0108,SL-03-00211,East,2026-03-26,5,C00541,SO-03-00106,D056,223.24,0,,2026-03-31
P0132,SL-03-00212,Central,2026-03-15,3,C00941,SO-03-00106,D006,159.74,0.10,,2026-03-19
P0213,SL-03-00213,North,2026-03-01,3,C00286,SO-03-00107,D077,70.49,0.10,,2026-03-08
P0293,SL-03-00214,Central,2026-03-23,4,C00523,SO-03-00107,D061,303.49,0.15,,2026-03-31
P0171,SL-03-00215,East,2026-03-20,5,C00484,SO-03-00108,D042,264.99,0.15,,2026-03-22
P0242,SL-03-00216,Central,2026-03-07,4,C00747,SO-03-00108,D034,63.24,0.10,,2026-03-14
P0278,SL-03-00217,South,2026-03-16,5,C00249,SO-03-00109,D059,134.74,0,SPRING26,2026-03-18
P0229,SL-03-00218,South,2026-03-15,5,C01368,SO-03-00109,D021,250.49,0,,2026-03-21
P0115,SL-03-00219,West,2026-03-25,5,C00429,SO-03-00110,D086,301.99,0,,2026-03-27
P0296,SL-03-00220,North,2026-03-02,5,C00238,SO-03-00110,D028,337.24,0.10,,2026-03-03
P0113,SL-03-00221,South,2026-03-06,4,C00693,SO-03-00111,D079,279.49,0.10,,
P0343,SL-03-00222,West,2026-03-31,5,C01018,SO-03-00111,D069,198.99,0.15,,2026-04-03
P0254,SL-03-00223,West,2026-03-13,5,C00135,SO-03-00112,D058,198.24,0.15,,2026-03-14
P0182,SL-03-00224,East,2026-03-15,4,C00734,SO-03-00112,D057,55.24,0.10,,2026-03-18
P0222,SL-03-00225,Central,2026-03-12,4,C00941,SO-03-00113,D074,171.74,0.10,SPRING26,2026-03-14
P0026,SL-03-00226,Central,2026-03-12,5,C00250,SO-03-00113,D063,301.24,0.10,,2026-03-14
P0210,SL-03-00227,North,2026-03-09,4,C00015,SO-03-00114,D065,370.24,0.10,,2026-03-14
P0134,SL-03-00228,Central,2026-03-29,5,C00625,SO-03-00114,D077,182.24,0.15,,2026-04-05
P0286,SL-03-00229,East,2026-03-25,3,C00353,SO-03-00115,D088,224.74,0,,2026-03-30
P0110,SL-03-00230,East,2026-03-19,5,C00104,SO-03-00115,D087,245.74,0,,2026-03-27
P0091,SL-03-00231,West,2026-03-28,2,C00416,SO-03-00116,D092,31.99,0.05,,2026-04-05
P0063,SL-03-00232,East,2026-03-16,4,C00171,SO-03-00116,D085,50.49,0.15,,2026-03-20
P0358,SL-03-00233,West,2026-03-17,2,C00911,SO-03-00117,D077,367.74,0,SPRING26,2026-03-21
P0249,SL-03-00234,North,2026-03-11,3,C00840,SO-03-00117,D004,141.99,0,,2026-03-16
P0284,SL-03-00235,Central,2026-03-16,4,C00372,SO-03-00118,D024,202.24,0.10,,2026-03-18
P0095,SL-03-00236,West,2026-03-19,2,C00909,SO-03-00118,D092,76.99,0.15,,2026-03-24
P0113,SL-03-00237,West,2026-03-08,1,C00442,SO-03-00119,D073,279.49,0,,2026-03-12
P0034,SL-03-00238,Central,2026-03-14,5,C00840,SO-03-00119,D101,57.74,0.05,,2026-03-20
P0076,SL-03-00239,East,2026-03-10,1,C00643,SO-03-00120,D020,196.74,0.15,,2026-03-18
P0227,SL-03-00240,West,2026-03-19,5,C00805,SO-03-00120,D096,227.99,0.10,,2026-03-24
P0086,SL-03-00241,South,2026-03-25,1,C00577,SO-03-00121,D061,309.24,0.10,SPRING26,2026-04-01
P0053,SL-03-00242,North,2026-03-01,3,C00626,SO-03-00121,D015,271.49,0.10,,2026-03-07
P0025,SL-03-00243,West,2026-03-27,3,C00451,SO-03-00122,D107,289.99,0.10,,
P0144,SL-03-00244,West,2026-03-07,5,C00136,SO-03-00122,D074,294.74,0.15,,2026-03-09
P0261,SL-03-00245,East,2026-03-08,5,C00706,SO-03-00123,D103,276.99,0.10,,2026-03-10
P0108,SL-03-00246,South,2026-03-15,2,C00081,SO-03-00123,D059,223.24,0.15,,2026-03-18
P0164,SL-03-00247,East,2026-03-10,2,C00346,SO-03-00124,D035,186.24,0.05,,2026-03-16
P0330,SL-03-00248,North,2026-03-16,1,C00438,SO-03-00124,D100,386.24,0.10,,2026-03-24
P0333,SL-03-00249,West,2026-03-22,4,C01359,SO-03-00125,D061,86.49,0.15,SPRING26,2026-03-28
P0082,SL-03-00250,South,2026-03-17,4,C00965,SO-03-00125,D023,264.24,0.05,,2026-03-20
P0269,SL-03-00251,North,2026-03-18,4,C00730,SO-03-00126,D030,366.99,0,,2026-03-22
P0251,SL-03-00252,North,2026-03-25,4,C00944,SO-03-00126,D097,164.49,0,,2026-03-30
P0083,SL-03-00253,East,2026-03-05,4,C00075,SO-03-00127,D062,275.49,0,,2026-03-06
P0071,SL-03-00254,Central,2026-03-06,3,C00914,SO-03-00127,D005,140.49,0.05,,2026-03-12
P0325,SL-03-00255,East,2026-03-23,4,C00213,SO-03-00128,D053,329.99,0.05,,2026-03-25
P0287,SL-03-00256,East,2026-03-19,1,C00690,SO-03-00128,D060,235.99,0.15,,2026-03-23
