RespondentID,SurveyDate,CustomerSegment,Region,EaseOfPurchase,ProductQuality,DeliveryExperience,SupportExperience,ValueForMoney,LikelihoodToRecommend
R-0155,2026-01-15,Consumer,West,4,2,3,4,3,9
R-0156,2026-01-09,Small Business,West,5,4,3,5,3,9
R-0157,2026-03-08,Small Business,West,5,2,,2,5,9
R-0158,2026-02-11,Enterprise,Central,1,4,4,1,3,5
R-0159,2026-04-28,Consumer,North,1,4,1,2,2,3
R-0160,2026-06-17,Consumer,Central,1,5,3,4,5,1
R-0161,2026-04-27,Consumer,North,3,2,4,4,2,1
R-0162,2026-06-01,Small Business,East,5,4,5,1,1,2
R-0163,2026-06-10,Consumer,East,1,2,2,,5,10
R-0164,2026-02-20,Small Business,North,5,4,1,5,5,7
R-0165,2026-05-03,Small Business,South,3,4,2,5,2,4
R-0166,2026-02-09,Consumer,Central,4,2,2,5,3,9
R-0167,2026-06-21,Enterprise,West,5,3,3,1,1,6
R-0168,2026-04-08,Small Business,West,2,5,2,2,1,9
R-0169,2026-04-06,Consumer,East,3,1,5,1,3,5
R-0170,2026-02-24,Consumer,North,1,3,,4,4,4
R-0171,2026-06-09,Consumer,South,5,1,1,4,3,0
R-0172,2026-03-24,Consumer,South,2,2,3,,1,0
R-0173,2026-05-16,Enterprise,North,4,5,5,1,3,4
R-0174,2026-04-06,Consumer,North,5,2,3,5,2,4
R-0175,2026-02-12,Small Business,Central,3,2,4,5,3,4
R-0176,2026-06-13,Consumer,South,4,5,2,2,3,5
R-0177,2026-06-18,Enterprise,East,4,2,2,4,3,1
R-0178,2026-04-09,Enterprise,West,3,2,1,2,3,5
R-0179,2026-03-22,Consumer,Central,5,4,1,4,1,1
R-0180,2026-01-16,Small Business,East,5,4,2,2,3,9
R-0181,2026-03-12,Small Business,East,4,3,4,,1,5
R-0182,2026-06-18,Consumer,North,5,3,2,4,3,4
R-0183,2026-03-24,Small Business,East,3,4,,3,4,6
R-0184,2026-04-06,Small Business,West,3,4,5,1,2,10
R-0185,2026-06-08,Enterprise,South,1,2,4,5,3,0
R-0186,2026-06-16,Consumer,North,5,1,5,5,5,2
R-0187,2026-03-05,Consumer,East,3,5,4,1,2,3
R-0188,2026-02-19,Small Business,South,3,4,4,5,1,10
R-0189,2026-02-08,Consumer,East,3,2,2,1,5,2
R-0190,2026-05-13,Small Business,East,1,4,1,,2,5
R-0191,2026-05-04,Enterprise,West,4,5,5,2,1,1
R-0192,2026-01-06,Enterprise,West,2,3,4,4,4,2
R-0193,2026-01-17,Enterprise,North,2,3,1,5,3,0
R-0194,2026-03-27,Consumer,South,2,5,3,5,4,2
R-0195,2026-04-24,Enterprise,Central,3,3,2,5,2,10
R-0196,2026-01-15,Small Business,East,1,2,,2,5,7
R-0197,2026-02-05,Consumer,North,3,5,3,5,2,9
R-0198,2026-03-14,Consumer,South,2,3,5,3,4,9
R-0199,2026-04-13,Enterprise,Central,3,2,5,,3,3
R-0200,2026-02-05,Consumer,North,4,5,2,2,2,9
R-0201,2026-01-04,Consumer,West,5,3,2,1,1,2
R-0202,2026-03-18,Enterprise,East,5,1,3,4,2,7
R-0203,2026-04-28,Consumer,Central,1,5,4,4,4,2
R-0204,2026-05-19,Small Business,South,3,1,5,1,1,10
R-0205,2026-03-07,Consumer,West,5,5,1,4,5,3
R-0206,2026-03-10,Consumer,Central,4,1,4,3,5,3
R-0207,2026-06-24,Enterprise,Central,5,2,2,2,1,1
R-0208,2026-02-03,Small Business,Central,3,5,5,,1,8
R-0209,2026-03-26,Enterprise,South,4,1,,4,1,6
R-0210,2026-05-10,Enterprise,Central,2,3,3,3,3,8
R-0211,2026-05-15,Consumer,Central,3,3,1,3,2,1
R-0212,2026-05-01,Consumer,East,5,4,2,2,2,0
R-0213,2026-04-28,Small Business,South,2,2,1,5,1,9
R-0214,2026-05-01,Enterprise,East,5,5,3,1,1,1
R-0215,2026-03-18,Small Business,North,5,3,3,1,2,5
R-0216,2026-03-24,Small Business,South,5,5,3,1,4,2
R-0217,2026-02-23,Consumer,Central,2,1,3,,3,5
R-0218,2026-05-24,Enterprise,North,5,3,4,2,3,3
R-0219,2026-01-03,Enterprise,Central,4,4,1,5,3,5
R-0220,2026-02-19,Small Business,North,3,2,3,1,4,2
R-0221,2026-06-09,Consumer,East,2,1,5,2,4,9
R-0222,2026-04-18,Enterprise,South,4,2,,3,3,10
R-0223,2026-02-17,Small Business,West,1,5,4,1,4,6
R-0224,2026-06-16,Consumer,North,3,3,2,5,2,4
R-0225,2026-02-28,Enterprise,East,5,3,1,1,2,1
R-0226,2026-06-05,Consumer,West,5,1,3,,1,5
R-0227,2026-05-08,Consumer,North,2,3,3,5,2,7
R-0228,2026-02-14,Small Business,East,5,1,5,2,1,3
R-0229,2026-01-09,Small Business,Central,1,4,5,1,5,4
R-0230,2026-06-15,Consumer,East,4,3,5,3,2,8
R-0231,2026-02-13,Consumer,South,2,1,2,2,1,3
R-0232,2026-06-24,Consumer,North,2,2,3,5,1,3
R-0233,2026-06-08,Small Business,Central,5,4,1,1,4,5
R-0234,2026-03-08,Enterprise,East,4,2,1,4,3,1
R-0235,2026-05-17,Small Business,West,2,2,,,5,9
R-0236,2026-02-08,Enterprise,North,2,2,2,4,2,8
R-0237,2026-01-16,Small Business,South,4,3,2,2,2,8
R-0238,2026-05-16,Small Business,Central,4,5,1,2,3,7
R-0239,2026-06-12,Consumer,South,5,1,4,2,2,6
R-0240,2026-01-18,Consumer,East,5,3,1,1,3,4
R-0241,2026-06-03,Enterprise,East,4,3,5,4,3,5
R-0242,2026-06-22,Small Business,Central,3,2,1,5,1,5
R-0243,2026-06-21,Consumer,Central,2,3,5,3,1,4
R-0244,2026-03-16,Enterprise,East,4,3,1,,3,5
R-0245,2026-02-16,Small Business,South,2,4,4,4,1,9
R-0246,2026-04-05,Small Business,Central,5,2,5,5,5,1
R-0247,2026-06-04,Small Business,Central,5,1,5,5,5,3
R-0248,2026-03-21,Small Business,Central,5,1,,5,5,7
R-0249,2026-06-12,Consumer,West,1,5,1,5,3,5
R-0250,2026-02-03,Enterprise,Central,5,1,3,4,1,4
R-0251,2026-05-05,Small Business,East,1,5,3,5,3,4
R-0252,2026-04-25,Enterprise,West,5,2,5,2,5,6
R-0253,2026-03-26,Enterprise,South,4,2,2,,2,3
R-0254,2026-04-09,Enterprise,North,5,5,4,1,2,8
R-0255,2026-04-25,Small Business,West,3,5,3,1,3,8
R-0256,2026-06-16,Consumer,South,3,2,3,2,2,6
R-0257,2026-06-27,Small Business,South,1,2,4,1,1,7
R-0258,2026-05-18,Enterprise,South,5,5,2,5,2,9
R-0259,2026-02-24,Enterprise,West,3,3,5,1,4,2
R-0260,2026-05-27,Small Business,North,3,2,3,4,5,4
R-0261,2026-02-20,Small Business,East,1,5,,3,4,2
R-0262,2026-01-13,Enterprise,South,4,5,5,,2,1
R-0263,2026-01-03,Enterprise,East,4,5,4,5,2,8
R-0264,2026-06-19,Small Business,North,4,1,1,5,3,6
R-0265,2026-01-10,Small Business,North,1,2,3,2,2,5
R-0266,2026-06-04,Consumer,Central,4,4,1,1,5,9
R-0267,2026-02-01,Small Business,South,4,1,3,2,2,5
R-0268,2026-03-15,Consumer,South,4,2,5,4,2,7
R-0269,2026-04-10,Enterprise,South,3,4,5,5,1,7
R-0270,2026-04-17,Small Business,East,4,4,3,5,1,7
R-0271,2026-02-19,Enterprise,Central,5,3,3,,4,5
R-0272,2026-06-12,Enterprise,South,1,5,5,5,4,9
R-0273,2026-02-25,Small Business,Central,2,1,1,4,5,2
R-0274,2026-04-12,Enterprise,South,4,5,,1,5,8
R-0275,2026-02-01,Consumer,East,1,5,5,1,1,8
R-0276,2026-03-25,Consumer,East,2,1,4,3,3,5
R-0277,2026-04-27,Enterprise,South,5,2,1,2,2,5
R-0278,2026-01-13,Enterprise,West,2,2,4,2,3,4
R-0279,2026-03-27,Consumer,East,1,2,4,1,3,7
R-0280,2026-05-09,Consumer,South,3,3,2,,2,4
R-0281,2026-02-22,Small Business,East,5,2,3,2,5,3
R-0282,2026-05-09,Enterprise,North,3,4,3,5,2,1
R-0283,2026-06-26,Consumer,West,1,5,1,4,4,9
R-0284,2026-04-13,Small Business,South,4,4,3,1,1,2
R-0285,2026-05-04,Consumer,South,4,2,2,5,5,7
R-0286,2026-02-18,Enterprise,Central,2,3,2,5,5,2
R-0287,2026-06-17,Enterprise,East,3,1,,4,4,3
R-0288,2026-06-05,Consumer,East,1,5,1,2,4,0
R-0289,2026-04-19,Consumer,East,2,3,4,,4,8
R-0290,2026-04-04,Consumer,East,4,5,5,3,5,8
R-0291,2026-06-13,Consumer,North,2,5,3,5,2,5
R-0292,2026-02-18,Small Business,North,4,5,2,3,5,4
R-0293,2026-05-11,Small Business,North,2,5,5,1,3,0
R-0294,2026-05-15,Small Business,Central,2,3,2,3,2,5
R-0295,2026-01-01,Small Business,North,3,2,4,5,3,4
R-0296,2026-01-11,Small Business,South,1,2,1,2,3,7
R-0297,2026-03-19,Consumer,Central,2,5,1,1,3,3
R-0298,2026-03-14,Enterprise,West,5,5,5,,4,8
R-0299,2026-03-14,Consumer,North,5,5,1,1,5,2
R-0300,2026-03-06,Small Business,West,3,1,,3,5,4
R-0301,2026-03-26,Enterprise,East,4,2,2,1,4,10
R-0302,2026-03-15,Small Business,East,1,4,4,1,4,1
R-0303,2026-04-05,Small Business,North,4,2,1,4,4,9
R-0304,2026-04-14,Small Business,North,5,4,5,2,4,2
R-0305,2026-03-16,Enterprise,North,3,1,1,4,2,2
R-0306,2026-05-11,Consumer,South,4,5,3,2,4,8
R-0307,2026-04-13,Consumer,North,1,1,1,,2,1
R-0308,2026-01-08,Small Business,East,5,1,1,4,2,5
R-0309,2026-01-27,Small Business,South,5,2,2,5,1,1
R-0310,2026-02-10,Small Business,Central,3,2,1,5,2,1
R-0311,2026-04-15,Small Business,East,2,1,4,3,2,5
R-0312,2026-03-01,Small Business,East,4,4,2,5,5,1
R-0313,2026-01-17,Enterprise,Central,5,3,,1,4,8
R-0314,2026-02-10,Consumer,West,1,5,2,5,5,2
R-0315,2026-03-07,Small Business,South,5,3,3,2,1,10
R-0316,2026-05-06,Small Business,Central,1,1,4,,1,10
R-0317,2026-03-01,Enterprise,North,5,5,3,2,1,0
R-0318,2026-04-12,Small Business,North,5,2,3,5,1,10
R-0319,2026-02-11,Consumer,North,3,1,2,5,4,1
R-0320,2026-01-06,Small Business,East,4,2,1,2,3,10
R-0321,2026-06-14,Enterprise,West,1,3,2,2,2,7
R-0322,2026-03-06,Small Business,East,3,5,4,1,2,8
R-0323,2026-04-06,Consumer,Central,5,3,1,3,4,4
R-0324,2026-05-04,Small Business,South,5,5,1,3,1,1
R-0325,2026-06-04,Small Business,East,2,4,1,,1,10
R-0326,2026-01-14,Consumer,North,2,1,,5,4,8
R-0327,2026-03-09,Consumer,South,4,4,5,4,3,5
R-0328,2026-05-16,Enterprise,Central,5,4,1,2,3,7
R-0329,2026-03-14,Enterprise,South,1,1,4,4,3,4
R-0330,2026-01-26,Small Business,Central,3,4,1,4,1,4
R-0331,2026-04-20,Small Business,East,4,1,5,5,1,8
R-0332,2026-01-17,Small Business,South,3,3,5,3,2,7
R-0333,2026-04-10,Consumer,East,3,1,2,2,3,7
R-0334,2026-03-16,Enterprise,East,2,2,4,,5,3
R-0335,2026-01-10,Small Business,North,4,3,1,5,1,1
R-0336,2026-02-01,Consumer,West,1,5,3,3,4,3
R-0337,2026-03-13,Enterprise,North,1,4,5,2,2,7
R-0338,2026-05-15,Enterprise,Central,5,2,3,1,4,3
R-0339,2026-04-06,Small Business,East,5,4,,1,5,7
R-0340,2026-06-17,Consumer,Central,1,5,3,3,3,9
R-0341,2026-05-14,Consumer,East,4,5,2,2,4,2
R-0342,2026-06-01,Small Business,Central,3,2,5,3,2,8
R-0343,2026-06-28,Small Business,North,3,2,1,,3,5
R-0344,2026-05-25,Enterprise,West,3,2,4,1,1,9
R-0345,2026-03-02,Consumer,North,4,3,5,4,1,3
R-0346,2026-03-16,Small Business,West,3,5,5,5,1,6
R-0347,2026-02-08,Small Business,South,2,2,1,3,2,6
R-0348,2026-06-04,Enterprise,East,4,1,2,4,1,1
R-0349,2026-05-12,Consumer,South,4,3,1,5,2,10
R-0350,2026-05-17,Enterprise,West,4,1,2,2,4,2
R-0351,2026-03-08,Small Business,East,3,2,1,2,3,7
R-0352,2026-06-15,Enterprise,North,3,5,,,4,7
R-0353,2026-01-28,Small Business,East,1,4,5,3,3,0
R-0354,2026-03-09,Small Business,South,5,5,4,3,5,8
R-0355,2026-04-18,Enterprise,North,2,1,4,3,4,8
R-0356,2026-03-21,Enterprise,North,1,2,2,3,1,3
R-0357,2026-06-14,Consumer,West,5,1,4,1,4,4
R-0358,2026-03-19,Enterprise,South,5,2,1,4,4,8
R-0359,2026-03-20,Small Business,East,3,4,5,4,1,1
R-0360,2026-03-22,Enterprise,North,4,4,3,3,5,4
R-0361,2026-03-25,Small Business,South,3,3,5,,2,8
R-0362,2026-05-26,Small Business,South,3,4,2,4,1,9
R-0363,2026-05-10,Enterprise,Central,2,1,2,4,3,2
R-0364,2026-05-07,Small Business,North,3,1,4,2,5,6
R-0365,2026-04-19,Enterprise,South,5,4,,4,2,9
R-0366,2026-05-06,Enterprise,Central,1,1,3,1,3,10
R-0367,2026-06-20,Small Business,South,4,4,1,3,1,6
R-0368,2026-03-22,Consumer,Central,5,3,4,5,4,7
R-0369,2026-02-06,Consumer,West,1,4,5,5,5,7
R-0370,2026-05-09,Consumer,South,1,4,4,,2,8
R-0371,2026-05-22,Consumer,South,5,1,2,1,3,2
R-0372,2026-02-23,Small Business,West,4,4,3,1,3,8
R-0373,2026-01-05,Enterprise,North,2,5,2,1,5,5
R-0374,2026-02-16,Enterprise,East,5,4,5,2,3,5
R-0375,2026-02-27,Enterprise,West,5,2,2,1,2,4
R-0376,2026-04-20,Consumer,West,5,1,2,3,1,3
R-0377,2026-02-11,Enterprise,Central,5,1,4,3,3,5
R-0378,2026-03-02,Small Business,West,4,5,,2,3,3
R-0379,2026-02-07,Small Business,East,2,3,3,,3,6
R-0380,2026-01-13,Consumer,Central,1,1,4,2,5,3
R-0381,2026-03-21,Small Business,East,3,1,5,5,1,4
R-0382,2026-03-17,Consumer,West,4,1,3,2,1,0
R-0383,2026-04-08,Consumer,East,4,4,2,2,1,8
R-0384,2026-02-02,Small Business,East,3,3,2,5,2,6
R-0385,2026-04-12,Consumer,West,1,4,5,5,3,1
R-0386,2026-01-05,Enterprise,West,3,4,5,1,4,4
R-0387,2026-02-19,Enterprise,West,4,2,4,5,1,6
R-0388,2026-01-23,Consumer,North,4,3,2,,1,5
R-0389,2026-02-10,Consumer,Central,1,4,5,3,2,1
R-0390,2026-03-20,Enterprise,South,5,5,3,1,1,0
R-0391,2026-03-03,Small Business,North,5,1,,4,2,8
R-0392,2026-05-05,Small Business,South,1,5,1,5,4,7
R-0393,2026-02-20,Small Business,North,5,3,1,4,3,4
R-0394,2026-04-04,Small Business,Central,4,4,5,2,4,9
R-0395,2026-05-05,Small Business,Central,5,3,4,5,5,3
R-0396,2026-02-11,Consumer,East,2,1,5,1,4,6
R-0397,2026-06-02,Small Business,North,2,5,4,,5,6
R-0398,2026-06-05,Small Business,Central,2,2,5,3,4,6
R-0399,2026-04-01,Small Business,East,4,5,3,4,2,9
R-0400,2026-04-26,Enterprise,North,3,1,4,1,4,1
R-0401,2026-03-14,Small Business,East,5,4,4,5,1,2
R-0402,2026-04-28,Enterprise,South,1,4,1,2,3,10
R-0403,2026-03-04,Enterprise,North,4,4,1,1,2,9
R-0404,2026-05-27,Enterprise,West,1,4,,4,2,10
R-0405,2026-06-09,Consumer,East,4,2,1,1,4,7
R-0406,2026-03-05,Small Business,Central,3,4,2,,1,4
R-0407,2026-02-21,Small Business,East,1,4,4,4,1,4
R-0408,2026-01-21,Small Business,North,4,5,3,2,5,9
R-0409,2026-04-16,Enterprise,West,3,2,1,2,4,5
R-0410,2026-04-26,Small Business,North,5,3,2,1,5,7
R-0411,2026-01-26,Enterprise,East,5,2,1,1,2,6
R-0412,2026-03-15,Small Business,North,1,1,3,1,2,3
R-0413,2026-02-12,Consumer,North,5,5,1,3,3,6
R-0414,2026-04-01,Enterprise,Central,1,3,3,2,1,0
R-0415,2026-04-14,Enterprise,West,3,5,5,,2,7
R-0416,2026-04-12,Small Business,West,5,5,3,2,2,3
R-0417,2026-02-22,Small Business,West,5,1,,2,2,5
R-0418,2026-03-26,Consumer,South,2,2,4,1,3,6
R-0419,2026-03-13,Consumer,North,2,5,4,3,5,10
R-0420,2026-02-08,Small Business,North,2,2,3,5,1,8
R-0421,2026-01-06,Small Business,East,4,3,3,1,4,10
R-0422,2026-04-20,Enterprise,North,2,5,5,5,4,9
R-0423,2026-05-11,Consumer,East,5,3,1,1,5,0
R-0424,2026-02-14,Enterprise,West,2,5,1,,1,4
R-0425,2026-04-01,Small Business,Central,3,4,1,3,1,4
R-0426,2026-02-15,Consumer,North,3,2,1,1,5,4
R-0427,2026-06-13,Consumer,Central,4,3,2,3,5,4
R-0428,2026-05-19,Enterprise,North,1,1,3,5,3,1
R-0429,2026-03-06,Enterprise,Central,5,1,1,1,5,7
R-0430,2026-03-27,Small Business,North,5,5,,3,2,7
R-0431,2026-01-09,Enterprise,Central,1,5,3,5,4,5
R-0432,2026-06-07,Small Business,East,3,1,1,1,1,2
R-0433,2026-03-16,Consumer,East,5,2,5,,3,2
R-0434,2026-04-24,Small Business,North,5,2,1,2,2,5
R-0435,2026-06-06,Enterprise,South,5,1,1,2,3,6
R-0436,2026-06-09,Small Business,East,1,4,2,5,2,6
R-0437,2026-06-04,Small Business,North,2,5,5,2,2,9
R-0438,2026-03-15,Small Business,West,1,3,5,5,1,3
R-0439,2026-03-12,Small Business,West,4,5,2,2,4,9
R-0440,2026-04-09,Enterprise,West,1,1,5,2,5,9
R-0441,2026-05-24,Enterprise,South,1,5,3,1,4,6
