DepartmentID,Metric,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026
D024,Service,166,120,169,21,249,188
D025,Sales,89,56,160,100,67,160
D025,Returns,115,188,116,203,181,61
D025,Service,249,158,227,51,175,258
D026,Sales,35,186,135,79,178,212
D026,Returns,178,184,22,101,252,168
D026,Service,97,113,216,242,234,206
D027,Sales,101,64,121,149,90,154
D027,Returns,64,260,187,204,48,137
D027,Service,117,215,66,21,41,107
D028,Sales,163,87,89,240,166,32
D028,Returns,156,44,77,150,226,224
D028,Service,232,122,160,75,186,208
D029,Sales,48,50,114,216,184,66
D029,Returns,182,98,201,170,130,80
D029,Service,145,201,175,197,32,141
D030,Sales,52,155,60,63,80,225
D030,Returns,52,62,220,128,204,142
D030,Service,169,105,137,100,201,40
D031,Sales,129,220,124,240,216,33
D031,Returns,50,89,176,191,220,238
D031,Service,74,249,87,83,165,163
D032,Sales,51,178,186,116,138,237
D032,Returns,91,96,102,93,221,215
D032,Service,185,173,171,183,144,56
D033,Sales,32,258,240,228,243,32
D033,Returns,233,178,239,147,185,248
D033,Service,209,42,221,245,235,91
D034,Sales,31,197,61,136,183,221
D034,Returns,123,251,153,191,238,198
D034,Service,75,162,78,158,259,172
D035,Sales,113,43,75,25,28,82
D035,Returns,247,209,187,127,149,92
D035,Service,128,236,55,209,251,101
D036,Sales,58,88,108,246,185,242
D036,Returns,34,30,44,119,142,76
D036,Service,257,47,172,185,20,55
D037,Sales,106,246,166,103,116,123
D037,Returns,165,21,111,141,234,206
D037,Service,214,194,25,52,156,184
D038,Sales,105,90,248,171,225,127
D038,Returns,89,176,251,196,225,64
D038,Service,28,102,132,53,63,162
D039,Sales,31,225,166,250,31,184
D039,Returns,219,98,124,24,69,20
D039,Service,208,233,208,72,139,154
D040,Sales,117,59,105,205,130,214
D040,Returns,215,131,229,30,207,63
D040,Service,46,228,225,145,99,184
D041,Sales,51,84,253,247,55,42
D041,Returns,103,176,162,22,58,139
D041,Service,194,236,233,180,213,215
D042,Sales,128,150,224,237,199,219
D042,Returns,147,58,214,239,47,85
D042,Service,200,108,174,105,204,27
D043,Sales,220,103,209,255,115,87
D043,Returns,167,94,191,197,171,190
D043,Service,34,80,110,26,233,120
D044,Sales,166,122,211,245,172,225
D044,Returns,71,247,31,220,242,93
D044,Service,53,231,247,187,158,26
D045,Sales,126,185,76,75,172,63
D045,Returns,61,183,231,222,50,80
D045,Service,121,122,45,187,134,52
D046,Sales,238,72,166,118,168,148
D046,Returns,175,201,127,180,145,155
D046,Service,131,257,208,259,35,76
D047,Sales,195,103,80,165,103,161
D047,Returns,29,41,149,226,161,174
D047,Service,90,55,233,240,219,148
D048,Sales,28,157,213,162,141,132
D048,Returns,63,235,236,61,94,192
D048,Service,43,181,96,109,214,58
D049,Sales,229,206,238,93,232,60
D049,Returns,46,117,214,50,212,78
D049,Service,136,71,45,186,193,255
D050,Sales,162,76,46,55,30,32
D050,Returns,200,56,86,88,214,117
D050,Service,256,177,65,246,257,155
D051,Sales,186,98,124,85,116,260
D051,Returns,215,236,85,106,217,85
D051,Service,32,102,122,221,42,91
D052,Sales,201,75,175,104,141,73
D052,Returns,182,167,50,30,109,234
D052,Service,253,117,206,215,23,180
D053,Sales,88,128,34,252,249,235
D053,Returns,110,100,207,109,65,20
D053,Service,133,221,161,128,109,52
D054,Sales,172,20,135,62,210,241
D054,Returns,215,190,22,85,145,170
D054,Service,23,56,140,244,168,240
D055,Sales,111,202,62,152,70,26
D055,Returns,142,109,62,205,216,164
D055,Service,51,42,132,153,225,91
D056,Sales,194,143,76,194,194,139
D056,Returns,237,86,93,125,239,180
D056,Service,144,166,133,237,219,71
D057,Sales,255,147,133,133,191,168
D057,Returns,118,189,251,157,205,62
D057,Service,142,63,233,189,185,152
D058,Sales,58,90,131,212,130,109
D058,Returns,71,173,199,94,76,92
D058,Service,52,85,33,108,166,191
D059,Sales,60,120,27,244,192,185
D059,Returns,81,159,77,34,125,260
D059,Service,153,33,222,206,97,196
D060,Sales,198,246,246,162,78,177
D060,Returns,199,247,47,95,196,90
D060,Service,240,116,68,193,34,162
D061,Sales,41,99,160,224,240,63
D061,Returns,198,154,150,111,195,246
D061,Service,64,54,51,84,123,31
D062,Sales,237,185,60,219,255,154
D062,Returns,172,99,220,196,33,164
D062,Service,158,50,162,54,110,132
D063,Sales,137,213,107,62,184,242
D063,Returns,78,184,99,165,94,171
D063,Service,230,89,156,219,197,253
D064,Sales,53,231,189,203,81,212
D064,Returns,152,173,105,51,157,149
D064,Service,69,93,255,67,36,90
D065,Sales,103,104,82,208,168,70
D065,Returns,178,123,86,106,27,236
D065,Service,204,118,74,207,73,53
D066,Sales,149,158,39,244,233,100
D066,Returns,67,189,163,171,137,178
D066,Service,221,256,72,164,43,241
D067,Sales,134,156,82,72,134,37
D067,Returns,33,45,176,65,34,117
D067,Service,212,86,134,244,170,44
D068,Sales,105,164,134,158,25,41
D068,Returns,69,138,221,251,98,228
D068,Service,150,176,244,212,238,186
D069,Sales,51,20,102,31,227,111
D069,Returns,180,151,107,82,98,169
D069,Service,196,85,176,248,75,230
D070,Sales,242,195,114,25,127,162
D070,Returns,22,169,218,124,157,150
D070,Service,42,181,198,140,151,192
D071,Sales,248,32,86,172,64,125
D071,Returns,213,91,148,43,107,146
D071,Service,48,36,183,258,111,161
D072,Sales,81,230,249,162,170,166
D072,Returns,155,249,21,52,170,181
D072,Service,87,137,149,95,97,197
D073,Sales,223,120,34,141,199,196
D073,Returns,212,170,171,116,170,185
D073,Service,161,149,30,126,57,205
D074,Sales,41,120,178,189,153,67
D074,Returns,244,114,45,53,100,84
D074,Service,125,155,83,39,193,180
D075,Sales,176,226,248,184,36,233
D075,Returns,32,30,143,79,211,159
D075,Service,249,122,213,256,63,254
D076,Sales,98,45,173,92,150,218
D076,Returns,49,30,133,130,187,158
D076,Service,223,45,47,180,144,83
D077,Sales,160,90,70,180,194,42
D077,Returns,190,70,20,39,215,97
D077,Service,29,132,173,82,151,214
D078,Sales,34,43,204,208,129,122
D078,Returns,190,94,250,28,160,229
D078,Service,239,41,54,58,89,151
D079,Sales,231,136,61,233,91,147
D079,Returns,168,101,193,117,137,65
D079,Service,91,40,40,237,68,175
D080,Sales,174,41,69,251,28,155
D080,Returns,39,187,77,22,150,211
D080,Service,126,38,188,220,209,218
D081,Sales,56,220,59,221,86,144
D081,Returns,162,157,103,35,257,158
D081,Service,129,213,135,194,121,131
D082,Sales,140,182,68,230,96,25
D082,Returns,118,84,206,28,260,157
D082,Service,104,225,70,95,227,141
D083,Sales,103,31,107,72,257,129
D083,Returns,44,220,167,128,168,78
D083,Service,239,28,76,81,50,180
D084,Sales,177,83,67,119,101,162
D084,Returns,177,54,229,132,127,154
D084,Service,156,240,58,204,240,41
D085,Sales,100,193,191,210,226,210
D085,Returns,239,67,156,53,158,39
D085,Service,167,224,133,22,64,219
D086,Sales,54,92,173,24,152,208
D086,Returns,59,123,160,150,140,248
D086,Service,37,87,100,44,31,251
D087,Sales,124,29,120,209,164,145
D087,Returns,93,217,259,189,186,182
D087,Service,136,234,57,48,258,182
D088,Sales,211,157,259,29,183,200
D088,Returns,199,114,105,27,203,163
D088,Service,93,75,183,125,117,222
D089,Sales,153,63,180,25,64,27
D089,Returns,245,218,28,194,88,112
D089,Service,218,164,74,75,233,209
D090,Sales,37,208,223,118,258,192
D090,Returns,73,252,170,234,260,77
D090,Service,99,222,93,114,104,54
D091,Sales,182,57,149,54,165,76
D091,Returns,118,219,102,94,178,215
D091,Service,52,95,123,209,100,217
D092,Sales,238,226,53,200,43,168
D092,Returns,232,190,228,236,31,185
D092,Service,141,142,147,239,145,136
D093,Sales,208,39,101,158,218,99
D093,Returns,45,20,104,150,230,210
D093,Service,96,253,197,46,206,76
D094,Sales,207,135,234,51,231,205
D094,Returns,95,228,195,104,117,174
D094,Service,170,217,258,187,227,52
D095,Sales,168,67,212,50,134,177
D095,Returns,256,193,135,192,216,86
D095,Service,72,138,179,244,181,212
D096,Sales,126,226,250,259,37,210
D096,Returns,144,71,89,85,137,85
D096,Service,186,118,58,133,56,57
D097,Sales,207,44,208,114,40,124
D097,Returns,64,92,111,103,190,218
D097,Service,247,29,222,67,58,118
D098,Sales,30,221,182,23,175,44
D098,Returns,102,205,145,188,250,193
D098,Service,213,187,226,164,202,141
D099,Sales,256,22,160,81,20,114
D099,Returns,218,115,142,61,151,132
D099,Service,126,189,165,112,81,245
D100,Sales,150,191,133,242,256,184
D100,Returns,164,150,159,259,174,50
D100,Service,223,177,160,224,130,109
D101,Sales,179,258,229,87,77,151
D101,Returns,78,257,173,198,57,74
D101,Service,73,114,145,174,164,71
D102,Sales,178,125,201,147,144,247
D102,Returns,111,244,122,98,235,229
D102,Service,250,21,200,83,178,138
D103,Sales,43,146,217,192,240,178
D103,Returns,157,30,46,94,222,158
D103,Service,92,239,42,124,59,94
D104,Sales,224,37,179,145,103,236
D104,Returns,136,143,243,179,140,44
D104,Service,250,128,47,136,108,82
D105,Sales,205,222,60,118,29,51
D105,Returns,128,100,250,26,208,145
D105,Service,178,143,26,153,115,183
D106,Sales,237,173,144,193,243,257
D106,Returns,252,60,137,248,115,215
D106,Service,62,225,28,248,192,207
D107,Sales,188,216,20,233,211,106
D107,Returns,60,248,50,210,185,68
D107,Service,218,127,222,188,192,253
D108,Sales,72,202,26,230,242,64
D108,Returns,54,242,199,111,226,240
D108,Service,125,143,107,221,226,99
D109,Sales,225,131,178,105,154,215
D109,Returns,183,131,141,50,107,52
D109,Service,116,76,200,238,115,120
D110,Sales,234,198,169,77,204,107
D110,Returns,192,243,22,224,232,66
D110,Service,38,241,23,176,163,205
D111,Sales,21,80,31,123,101,93
D111,Returns,48,231,130,24,66,139
D111,Service,169,199,254,162,60,68
D112,Sales,55,253,122,126,157,243
D112,Returns,185,111,123,27,257,23
D112,Service,90,167,166,216,33,222
D113,Sales,152,215,72,203,104,100
D113,Returns,240,197,34,159,187,43
D113,Service,72,83,258,260,48,64
D114,Sales,187,204,207,122,112,67
D114,Returns,89,117,21,186,158,70
D114,Service,57,36,185,201,73,141
D115,Sales,51,191,257,252,239,116
D115,Returns,151,23,84,235,165,236
D115,Service,83,54,121,87,199,227
D116,Sales,45,40,89,126,249,69
D116,Returns,67,60,22,50,172,141
D116,Service,54,192,120,66,61,183
D117,Sales,68,130,253,138,237,160
D117,Returns,141,200,177,156,79,87
D117,Service,199,200,134,140,62,140
D118,Sales,90,200,224,124,134,181
D118,Returns,162,188,127,235,120,102
D118,Service,251,141,208,207,105,35
D119,Sales,206,220,115,87,118,256
D119,Returns,45,131,146,176,35,114
D119,Service,251,197,55,92,255,204
D120,Sales,170,260,44,79,32,126
D120,Returns,237,76,145,69,99,51
D120,Service,30,178,171,57,70,225
