OrganisationID,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026
O0144,2314,3266,7332,4600,3223,6913
O0145,5450,7395,6699,2524,3071,6582
O0146,2089,7192,5600,5753,5513,7175
O0147,2503,4775,7175,4797,4563,2309
O0148,6224,6436,2210,1530,6126,4175
O0149,6678,3378,7022,5243,7175,3190
O0150,3030,2807,2816,2066,5977,5232
O0151,5519,3787,4505,2383,1574,5661
O0152,3057,7090,5137,5116,4662,5336
O0153,2326,3392,7040,4290,6180,7185
O0154,4949,2766,6158,6567,5283,4197
O0155,5433,5042,2860,1732,4677,5082
O0156,4382,4542,2560,3969,3533,1920
O0157,6697,2312,3692,3287,2226,5061
O0158,6209,5684,6793,2372,3736,5847
O0159,6092,3172,1570,7465,3741,3750
O0160,7478,5700,6682,3240,3963,4584
O0161,2818,5322,2475,4365,7137,6989
O0162,4479,5413,1995,6736,1908,4762
O0163,6832,5996,6925,4911,3987,3177
O0164,6483,1937,6872,5149,2659,5551
O0165,6193,4505,7206,7170,5462,4467
O0166,4312,5603,4500,6759,5035,3453
O0167,7157,5298,6369,2811,4971,6051
O0168,5415,6354,3979,4895,4640,7431
O0169,7400,6827,5669,2234,6414,3366
O0170,2597,4648,2747,6499,5284,3865
O0171,4286,4995,4593,4374,2447,4461
O0172,3060,7403,1500,1945,1944,4412
O0173,3592,5476,5138,6744,4663,6332
O0174,5903,4999,3992,5434,1900,5258
O0175,1582,4667,7490,2725,7108,7494
O0176,3751,6893,1635,2693,2216,5827
O0177,4855,2588,3767,4653,6015,4573
O0178,1670,4855,4297,4318,5225,2458
O0179,3851,4469,1980,6716,2194,6208
O0180,6004,4369,6209,2492,5157,6092
O0181,3444,5346,5862,7200,3957,3023
O0182,3308,2232,5388,2395,6591,2489
O0183,5515,7416,3727,7123,1989,1981
O0184,5041,5867,4474,7068,4860,3026
O0185,1903,7449,3023,5775,3093,6872
O0186,7142,5404,6400,4006,4091,5577
O0187,1669,7040,4714,3206,7178,2232
O0188,3185,3039,1787,3301,6016,4541
O0189,4046,3962,5168,3184,5435,5477
O0190,5245,1716,6487,4553,6223,4523
O0191,4004,2431,6701,5660,7082,1518
O0192,4130,6661,5160,5392,5998,5709
O0193,4826,3539,7423,3272,1584,1652
O0194,6154,4783,6311,3851,7411,2466
O0195,1604,4646,2560,3920,4780,2009
O0196,3084,2508,1681,2391,2815,2202
O0197,3068,2018,6894,6930,2782,2323
O0198,3442,6045,2403,4852,7397,7007
O0199,4630,4487,7481,5861,5094,7334
O0200,2789,3616,1823,5112,4947,4111
O0201,7089,7401,3309,2467,5830,6566
O0202,6180,4718,4406,3739,2510,6708
O0203,2860,3671,2049,5859,7448,1802
O0204,7415,6899,3614,6414,7051,2133
O0205,3177,2186,1543,4377,4898,3010
O0206,5267,2109,3183,7403,2816,1981
O0207,7127,7360,3212,7237,3610,5005
O0208,6330,4161,3689,4865,3540,6144
O0209,6967,5112,4008,2452,2197,6638
O0210,1640,2303,3811,6282,3133,6338
O0211,5607,2067,5100,3077,4309,3785
O0212,1745,5474,7216,1774,4045,6132
O0213,5666,4235,4921,7300,5528,2928
O0214,6353,7234,3437,4598,3923,6014
O0215,3007,2955,5743,5416,4714,1585
O0216,2234,2931,6696,1605,2745,5522
O0217,7174,7415,4452,6215,6709,3404
O0218,6534,6122,4024,5940,4069,3979
O0219,4607,2480,5646,2807,2805,5172
O0220,6128,6773,1642,3758,3572,6861
